<DATE>;<X>;<CLOSE>
30/10/17;39,55;0,9805
31/10/17;39,6;0,9730
01/11/17;39,65;0,9643
02/11/17;39,7;0,9545
03/11/17;39,75;0,9435
04/11/17;39,8;0,9314
05/11/17;39,85;0,9182
06/11/17;39,9;0,9040
07/11/17;39,95;0,8888
08/11/17;40;0,8726
09/11/17;40,05;0,8554
10/11/17;40,1;0,8374
11/11/17;40,15;0,8185
12/11/17;40,2;0,7989
13/11/17;40,25;0,7785
14/11/17;40,3;0,7574
15/11/17;40,35;0,7356
16/11/17;40,4;0,7133
17/11/17;40,45;0,6904
18/11/17;40,5;0,6671
19/11/17;40,55;0,6433
20/11/17;40,6;0,6192
21/11/17;40,65;0,5948
22/11/17;40,7;0,5701
23/11/17;40,75;0,5453
24/11/17;40,8;0,5203
25/11/17;40,85;0,4954
26/11/17;40,9;0,4704
27/11/17;40,95;0,4455
28/11/17;41;0,4207
29/11/17;41,05;0,3961
30/11/17;41,1;0,3718
01/12/17;41,15;0,3478
02/12/17;41,2;0,3242
03/12/17;41,25;0,3010
04/12/17;41,3;0,2783
05/12/17;41,35;0,2562
06/12/17;41,4;0,2347
07/12/17;41,45;0,2139
08/12/17;41,5;0,1937
09/12/17;41,55;0,1744
10/12/17;41,6;0,1558
11/12/17;41,65;0,1381
12/12/17;41,7;0,1213
13/12/17;41,75;0,1055
14/12/17;41,8;0,0906
15/12/17;41,85;0,0768
16/12/17;41,9;0,0640
17/12/17;41,95;0,0523
18/12/17;42;0,0417
19/12/17;42,05;0,0323
20/12/17;42,1;0,0241
21/12/17;42,15;0,0170
22/12/17;42,2;0,0111
23/12/17;42,25;0,0065
24/12/17;42,3;0,0031
25/12/17;42,35;0,0009
26/12/17;42,4;0,0000
27/12/17;42,45;0,0004
28/12/17;42,5;0,0020
29/12/17;42,55;0,0048
30/12/17;42,6;0,0089
31/12/17;42,65;0,0142
01/01/18;42,7;0,0207
02/01/18;42,75;0,0284
03/01/18;42,8;0,0373
04/01/18;42,85;0,0473
05/01/18;42,9;0,0585
06/01/18;42,95;0,0708
07/01/18;43;0,0841
08/01/18;43,05;0,0985
09/01/18;43,1;0,1139
10/01/18;43,15;0,1303
11/01/18;43,2;0,1475
12/01/18;43,25;0,1657
13/01/18;43,3;0,1847
14/01/18;43,35;0,2045
15/01/18;43,4;0,2250
16/01/18;43,45;0,2462
17/01/18;43,5;0,2681
18/01/18;43,55;0,2905
19/01/18;43,6;0,3135
20/01/18;43,65;0,3369
21/01/18;43,7;0,3607
22/01/18;43,75;0,3849
23/01/18;43,8;0,4094
24/01/18;43,85;0,4340
25/01/18;43,9;0,4589
26/01/18;43,95;0,4839
27/01/18;44;0,5089
28/01/18;44,05;0,5338
29/01/18;44,1;0,5587
30/01/18;44,15;0,5835
31/01/18;44,2;0,6080
01/02/18;44,25;0,6323
02/02/18;44,3;0,6562
03/02/18;44,35;0,6797
04/02/18;44,4;0,7028
05/02/18;44,45;0,7254
06/02/18;44,5;0,7474
07/02/18;44,55;0,7688
08/02/18;44,6;0,7896
09/02/18;44,65;0,8096
10/02/18;44,7;0,8288
11/02/18;44,75;0,8472
12/02/18;44,8;0,8648
13/02/18;44,85;0,8814
14/02/18;44,9;0,8971
15/02/18;44,95;0,9118
16/02/18;45;0,9255
17/02/18;45,05;0,9380
18/02/18;45,1;0,9495
19/02/18;45,15;0,9599
20/02/18;45,2;0,9692
21/02/18;45,25;0,9772
22/02/18;45,3;0,9841
23/02/18;45,35;0,9897
24/02/18;45,4;0,9942
25/02/18;45,45;0,9973
26/02/18;45,5;0,9993
27/02/18;45,55;1,0000
28/02/18;45,6;0,9995
01/03/18;45,65;0,9977
02/03/18;45,7;0,9946
03/03/18;45,75;0,9903
04/03/18;45,8;0,9848
05/03/18;45,85;0,9781
06/03/18;45,9;0,9702
07/03/18;45,95;0,9611
08/03/18;46;0,9509
09/03/18;46,05;0,9395
10/03/18;46,1;0,9271
11/03/18;46,15;0,9135
