<DATE>;"MT_250"
24.04.2011;0.27532245
25.04.2011;0.28246811
26.04.2011;0.28604094
27.04.2011;0.27889528
28.04.2011;0.27889528
29.04.2011;0.28246811
30.04.2011;0.25742256
01.05.2011;0.25742256
02.05.2011;0.33252349
03.05.2011;0.36114188
04.05.2011;0.43263425
05.05.2011;0.58051377
06.05.2011;0.61995784
07.05.2011;0.56979528
08.05.2011;0.49094287
09.05.2011;0.48018865
10.05.2011;0.45510736
11.05.2011;0.48737004
12.05.2011;0.54110543
13.05.2011;0.54110543
14.05.2011;0.52677838
15.05.2011;0.51959698
16.05.2011;0.55904105
17.05.2011;0.65579335
18.05.2011;0.64503912
19.05.2011;0.591268
20.05.2011;0.59844939
21.05.2011;0.591268
22.05.2011;0.65218479
23.05.2011;0.63071207
24.05.2011;0.591268
25.05.2011;0.63785773
26.05.2011;0.61277645
27.05.2011;0.66293901
28.05.2011;0.61277645
29.05.2011;0.58051377
30.05.2011;0.58769517
31.05.2011;0.61277645
01.06.2011;0.55543249
02.06.2011;0.61634928
03.06.2011;0.59487656
04.06.2011;0.55904105
05.06.2011;0.58769517
06.06.2011;0.56979528
07.06.2011;0.59487656
08.06.2011;0.60202222
09.06.2011;0.57694094
10.06.2011;0.61277645
11.06.2011;0.61995784
12.06.2011;0.62353067
13.06.2011;0.6342849
14.06.2011;0.75254564
15.06.2011;0.66293901
16.06.2011;0.65579335
17.06.2011;0.60920362
18.06.2011;0.63785773
19.06.2011;0.63071207
20.06.2011;0.6701204
21.06.2011;0.6773018
22.06.2011;0.6342849
23.06.2011;0.64861195
24.06.2011;0.67369324
25.06.2011;0.56618672
26.06.2011;0.61995784
27.06.2011;0.61634928
28.06.2011;0.58051377
29.06.2011;0.58769517
30.06.2011;0.58769517
01.07.2011;0.59487656
02.07.2011;0.56979528
03.07.2011;0.57336811
04.07.2011;0.47300725
05.07.2011;0.4586802
06.07.2011;0.43977991
07.07.2011;0.43977991
08.07.2011;0.48737004
09.07.2011;0.45153453
10.07.2011;0.43977991
11.07.2011;0.43620708
12.07.2011;0.46228876
13.07.2011;0.43977991
14.07.2011;0.44792597
15.07.2011;0.45153453
16.07.2011;0.4586802
17.07.2011;0.34681482
18.07.2011;0.29675944
19.07.2011;0.28604094
20.07.2011;0.28246811
21.07.2011;0.3110865
22.07.2011;0.27174962
23.07.2011;0.25384973
24.07.2011;0.26817678
25.07.2011;0.26460395
26.07.2011;0.27532245
27.07.2011;0.29318661
28.07.2011;0.27532245
29.07.2011;0.26817678
30.07.2011;0.28604094
31.07.2011;0.26817678
01.08.2011;0.26817678
02.08.2011;0.26460395
03.08.2011;0.27174962
04.08.2011;0.26460395
05.08.2011;0.27532245
06.08.2011;0.32537783
07.08.2011;0.41477009
08.08.2011;0.51959698
09.08.2011;0.59844939
10.08.2011;0.5375326
11.08.2011;0.57694094
12.08.2011;0.50526993
13.08.2011;0.47300725
14.08.2011;0.45153453
15.08.2011;0.54467827
16.08.2011;0.55543249
17.08.2011;0.54467827
18.08.2011;0.54828683
19.08.2011;0.5375326
20.08.2011;0.55904105
21.08.2011;0.591268
22.08.2011;0.54467827
23.08.2011;0.58412233
24.08.2011;0.60563078
25.08.2011;0.61995784
26.08.2011;0.61995784
27.08.2011;0.57694094
28.08.2011;0.591268
29.08.2011;0.6271035
30.08.2011;0.591268
31.08.2011;0.58051377
01.09.2011;0.58412233
02.09.2011;0.58412233
03.09.2011;0.56618672
04.09.2011;0.58051377
05.09.2011;0.58412233
06.09.2011;0.68087463
07.09.2011;0.63071207
08.09.2011;0.59487656
09.09.2011;0.61634928
10.09.2011;0.61277645
11.09.2011;0.59844939
12.09.2011;0.61277645
13.09.2011;0.58412233
14.09.2011;0.66654757
15.09.2011;0.64503912
16.09.2011;0.56261388
17.09.2011;0.55185966
18.09.2011;0.591268
19.09.2011;0.66293901
20.09.2011;0.61995784
21.09.2011;0.591268
22.09.2011;0.59487656
23.09.2011;0.61995784
24.09.2011;0.66293901
25.09.2011;0.6271035
26.09.2011;0.61995784
27.09.2011;0.61995784
28.09.2011;0.62353067
29.09.2011;0.56979528
30.09.2011;0.59487656
01.10.2011;0.61995784
02.10.2011;0.58051377
03.10.2011;0.58412233
04.10.2011;0.56618672
05.10.2011;0.55185966
06.10.2011;0.56618672
07.10.2011;0.56979528
08.10.2011;0.49094287
09.10.2011;0.45510736
10.10.2011;0.44792597
11.10.2011;0.45510736
12.10.2011;0.33252349
13.10.2011;0.29675944
14.10.2011;0.28604094
15.10.2011;0.28961378
16.10.2011;0.27532245
17.10.2011;0.28604094
18.10.2011;0.29318661
19.10.2011;0.30033227
20.10.2011;0.3110865
21.10.2011;0.30390511
22.10.2011;0.33609632
23.10.2011;0.27532245
24.10.2011;0.28246811
25.10.2011;0.28961378
26.10.2011;0.27174962
27.10.2011;0.27532245
28.10.2011;0.26099539
29.10.2011;0.30033227
30.10.2011;0.27532245
31.10.2011;0.30390511
01.11.2011;0.29675944
02.11.2011;0.27174962
03.11.2011;0.28604094
04.11.2011;0.30390511
05.11.2011;0.28246811
06.11.2011;0.27889528
07.11.2011;0.28246811
08.11.2011;0.26817678
09.11.2011;0.29318661
10.11.2011;0.39329737
11.11.2011;0.56979528
12.11.2011;0.50526993
13.11.2011;0.52677838
14.11.2011;0.56618672
15.11.2011;0.55904105
16.11.2011;0.54828683
17.11.2011;0.46586159
18.11.2011;0.46943442
19.11.2011;0.56618672
20.11.2011;0.56618672
21.11.2011;0.56261388
22.11.2011;0.58051377
23.11.2011;0.55543249
24.11.2011;0.63071207
25.11.2011;0.56618672
26.11.2011;0.59487656
27.11.2011;0.59487656
28.11.2011;0.56979528
29.11.2011;0.6271035
30.11.2011;0.63071207
01.12.2011;0.63071207
02.12.2011;0.64146629
03.12.2011;0.63785773
04.12.2011;0.60563078
05.12.2011;0.59487656
06.12.2011;0.6271035
07.12.2011;0.61995784
08.12.2011;0.591268
09.12.2011;0.62353067
10.12.2011;0.58051377
11.12.2011;0.63071207
12.12.2011;0.6342849
13.12.2011;0.591268
14.12.2011;0.59487656
15.12.2011;0.59487656
16.12.2011;0.60202222
17.12.2011;0.60920362
18.12.2011;0.63785773
19.12.2011;0.60202222
20.12.2011;0.6271035
21.12.2011;0.6271035
22.12.2011;0.61995784
23.12.2011;0.62353067
24.12.2011;0.63071207
25.12.2011;0.591268
26.12.2011;0.62353067
27.12.2011;0.60202222
28.12.2011;0.59844939
29.12.2011;0.6701204
30.12.2011;0.63071207
31.12.2011;0.64146629
01.01.2012;0.65579335
02.01.2012;0.59844939
03.01.2012;0.6342849
04.01.2012;0.60920362
05.01.2012;0.60920362
06.01.2012;0.57336811
07.01.2012;0.61995784
08.01.2012;0.63785773
09.01.2012;0.59487656
10.01.2012;0.56618672
11.01.2012;0.59844939
12.01.2012;0.50526993
13.01.2012;0.5016971
14.01.2012;0.46943442
15.01.2012;0.46943442
16.01.2012;0.36114188
17.01.2012;0.33609632
18.01.2012;0.31823216
19.01.2012;0.30747794
20.01.2012;0.29318661
21.01.2012;0.30390511
22.01.2012;0.30390511
23.01.2012;0.32180499
24.01.2012;0.34324199
25.01.2012;0.30747794
26.01.2012;0.31823216
27.01.2012;0.30033227
28.01.2012;0.28246811
29.01.2012;0.30390511
30.01.2012;0.28961378
31.01.2012;0.32180499
01.02.2012;0.27889528
02.02.2012;0.28604094
03.02.2012;0.27532245
04.02.2012;0.33252349
05.02.2012;0.30033227
06.02.2012;0.29675944
07.02.2012;0.29675944
08.02.2012;0.28604094
09.02.2012;0.28246811
10.02.2012;0.29675944
11.02.2012;0.3110865
12.02.2012;0.28246811
13.02.2012;0.27174962
14.02.2012;0.34681482
15.02.2012;0.60202222
16.02.2012;0.54467827
17.02.2012;0.56618672
18.02.2012;0.51959698
19.02.2012;0.50884276
20.02.2012;0.48737004
21.02.2012;0.46943442
22.02.2012;0.5016971
23.02.2012;0.53395977
24.02.2012;0.56618672
25.02.2012;0.54828683
26.02.2012;0.55543249
27.02.2012;0.5375326
28.02.2012;0.54467827
29.02.2012;0.58769517
01.03.2012;0.56979528
02.03.2012;0.55543249
03.03.2012;0.60563078
04.03.2012;0.68087463
05.03.2012;0.60920362
06.03.2012;0.58769517
07.03.2012;0.59487656
08.03.2012;0.57336811
09.03.2012;0.56261388
10.03.2012;0.63071207
11.03.2012;0.61634928
12.03.2012;0.59487656
13.03.2012;0.61277645
14.03.2012;0.61634928
15.03.2012;0.57336811
16.03.2012;0.56261388
17.03.2012;0.57694094
18.03.2012;0.57336811
19.03.2012;0.56979528
20.03.2012;0.58769517
21.03.2012;0.6271035
22.03.2012;0.591268
23.03.2012;0.60920362
24.03.2012;0.61634928
25.03.2012;0.65218479
26.03.2012;0.63071207
27.03.2012;0.64861195
28.03.2012;0.6342849
29.03.2012;0.6271035
30.03.2012;0.63071207
31.03.2012;0.64146629
01.04.2012;0.6271035
02.04.2012;0.61277645
03.04.2012;0.68802029
04.04.2012;0.65936618
05.04.2012;0.69162885
06.04.2012;0.65218479
07.04.2012;0.65936618
08.04.2012;0.591268
09.04.2012;0.61277645
10.04.2012;0.6701204
11.04.2012;0.60202222
12.04.2012;0.64146629
13.04.2012;0.63071207
14.04.2012;0.61277645
15.04.2012;0.60563078
16.04.2012;0.59844939
17.04.2012;0.52320555
18.04.2012;0.50884276
19.04.2012;0.48376148
20.04.2012;0.47300725
21.04.2012;0.35038765
22.04.2012;0.35756904
23.04.2012;0.33966916
24.04.2012;0.3110865
25.04.2012;0.28604094
26.04.2012;0.30033227
27.04.2012;0.29318661
28.04.2012;0.32895066
29.04.2012;0.33609632
30.04.2012;0.32180499
01.05.2012;0.34324199
02.05.2012;0.28961378
03.05.2012;0.29675944
04.05.2012;0.32180499
05.05.2012;0.27889528
06.05.2012;0.32537783
07.05.2012;0.30033227
08.05.2012;0.32180499
09.05.2012;0.30390511
10.05.2012;0.33609632
11.05.2012;0.30390511
12.05.2012;0.33252349
13.05.2012;0.30390511
14.05.2012;0.27889528
15.05.2012;0.31823216
16.05.2012;0.29318661
17.05.2012;0.29675944
18.05.2012;0.31465933
19.05.2012;0.29675944
20.05.2012;0.34681482
21.05.2012;0.55185966
22.05.2012;0.55185966
23.05.2012;0.53395977
24.05.2012;0.55185966
25.05.2012;0.55543249
26.05.2012;0.46943442
27.05.2012;0.46586159
28.05.2012;0.48376148
29.05.2012;0.49812426
30.05.2012;0.54110543
31.05.2012;0.53035121
01.06.2012;0.54467827
02.06.2012;0.50884276
03.06.2012;0.53035121
04.06.2012;0.591268
05.06.2012;0.57694094
06.06.2012;0.591268
07.06.2012;0.60202222
08.06.2012;0.59844939
09.06.2012;0.59487656
10.06.2012;0.60202222
11.06.2012;0.63071207
12.06.2012;0.61995784
13.06.2012;0.58769517
14.06.2012;0.63071207
15.06.2012;0.61995784
16.06.2012;0.58769517
17.06.2012;0.58769517
18.06.2012;0.6271035
19.06.2012;0.591268
20.06.2012;0.57336811
21.06.2012;0.60920362
22.06.2012;0.56261388
23.06.2012;0.58412233
24.06.2012;0.56618672
25.06.2012;0.58051377
26.06.2012;0.63071207
27.06.2012;0.64146629
28.06.2012;0.65936618
29.06.2012;0.61277645
30.06.2012;0.60920362
01.07.2012;0.60920362
02.07.2012;0.61634928
03.07.2012;0.59844939
04.07.2012;0.61277645
05.07.2012;0.60202222
06.07.2012;0.63785773
07.07.2012;0.59844939
08.07.2012;0.61634928
09.07.2012;0.591268
10.07.2012;0.64861195
11.07.2012;0.6271035
12.07.2012;0.61634928
13.07.2012;0.57694094
14.07.2012;0.59487656
15.07.2012;0.6271035
16.07.2012;0.57336811
17.07.2012;0.60563078
18.07.2012;0.57694094
19.07.2012;0.58412233
20.07.2012;0.56979528
21.07.2012;0.54828683
22.07.2012;0.53035121
23.07.2012;0.50884276
24.07.2012;0.46586159
25.07.2012;0.43620708
26.07.2012;0.37543321
27.07.2012;0.36471471
28.07.2012;0.30747794
29.07.2012;0.32895066
30.07.2012;0.32180499
31.07.2012;0.29318661
01.08.2012;0.3110865
02.08.2012;0.31465933
03.08.2012;0.30747794
04.08.2012;0.32180499
05.08.2012;0.32537783
06.08.2012;0.30033227
07.08.2012;0.28246811
08.08.2012;0.3110865
09.08.2012;0.30747794
10.08.2012;0.28961378
11.08.2012;0.30033227
12.08.2012;0.28961378
13.08.2012;0.28246811
14.08.2012;0.33252349
15.08.2012;0.27889528
16.08.2012;0.28961378
17.08.2012;0.30390511
18.08.2012;0.28961378
19.08.2012;0.29318661
20.08.2012;0.30033227
21.08.2012;0.29318661
22.08.2012;0.28246811
23.08.2012;0.28961378
24.08.2012;0.33252349
25.08.2012;0.62353067
26.08.2012;0.50884276
27.08.2012;0.59844939
28.08.2012;0.52320555
29.08.2012;0.53395977
30.08.2012;0.48376148
31.08.2012;0.44338847
01.09.2012;0.48018865
02.09.2012;0.52677838
03.09.2012;0.55543249
04.09.2012;0.53035121
05.09.2012;0.54828683
06.09.2012;0.56618672
07.09.2012;0.58769517
08.09.2012;0.58769517
09.09.2012;0.59487656
10.09.2012;0.6271035
11.09.2012;0.60563078
12.09.2012;0.62353067
13.09.2012;0.61277645
14.09.2012;0.61277645
15.09.2012;0.61277645
16.09.2012;0.60202222
17.09.2012;0.56979528
18.09.2012;0.58412233
19.09.2012;0.58769517
20.09.2012;0.55543249
21.09.2012;0.61995784
22.09.2012;0.62353067
23.09.2012;0.57694094
24.09.2012;0.56979528
25.09.2012;0.60202222
26.09.2012;0.57694094
27.09.2012;0.60563078
28.09.2012;0.55904105
29.09.2012;0.58769517
30.09.2012;0.56979528
01.10.2012;0.6342849
02.10.2012;0.60920362
03.10.2012;0.61634928
04.10.2012;0.60202222
05.10.2012;0.60920362
06.10.2012;0.66654757
07.10.2012;0.65936618
08.10.2012;0.64861195
09.10.2012;0.6271035
10.10.2012;0.64146629
11.10.2012;0.60920362
12.10.2012;0.6342849
13.10.2012;0.62353067
14.10.2012;0.63071207
15.10.2012;0.65936618
16.10.2012;0.64146629
17.10.2012;0.57336811
18.10.2012;0.59844939
19.10.2012;0.6271035
20.10.2012;0.60563078
21.10.2012;0.60202222
22.10.2012;0.60563078
23.10.2012;0.63071207
24.10.2012;0.6342849
25.10.2012;0.6342849
26.10.2012;0.591268
27.10.2012;0.57336811
28.10.2012;0.57694094
29.10.2012;0.591268
30.10.2012;0.52320555
31.10.2012;0.49812426
01.11.2012;0.43263425
02.11.2012;0.43977991
03.11.2012;0.30033227
04.11.2012;0.29318661
05.11.2012;0.32180499
06.11.2012;0.29675944
07.11.2012;0.30390511
08.11.2012;0.3110865
09.11.2012;0.32537783
10.11.2012;0.30390511
11.11.2012;0.25384973
12.11.2012;0.3110865
13.11.2012;0.29675944
14.11.2012;0.27174962
15.11.2012;0.28246811
16.11.2012;0.27532245
17.11.2012;0.27174962
18.11.2012;0.30747794
19.11.2012;0.28246811
20.11.2012;0.26460395
21.11.2012;0.3110865
22.11.2012;0.28604094
23.11.2012;0.28961378
24.11.2012;0.28604094
25.11.2012;0.27532245
26.11.2012;0.25742256
27.11.2012;0.29675944
28.11.2012;0.33966916
29.11.2012;0.6701204
30.11.2012;0.51959698
01.12.2012;0.53035121
02.12.2012;0.51245132
03.12.2012;0.51602415
04.12.2012;0.47661581
05.12.2012;0.46228876
06.12.2012;0.47661581
07.12.2012;0.52320555
08.12.2012;0.56979528
09.12.2012;0.54467827
10.12.2012;0.55904105
11.12.2012;0.51959698
12.12.2012;0.56618672
13.12.2012;0.53395977
14.12.2012;0.54467827
15.12.2012;0.57694094
16.12.2012;0.65218479
17.12.2012;0.69877452
18.12.2012;0.65936618
19.12.2012;0.66654757
20.12.2012;0.6701204
21.12.2012;0.6342849
22.12.2012;0.6271035
23.12.2012;0.64861195
24.12.2012;0.66293901
25.12.2012;0.65936618
26.12.2012;0.61995784
27.12.2012;0.64503912
28.12.2012;0.60563078
29.12.2012;0.60202222
30.12.2012;0.6701204
31.12.2012;0.59844939
01.01.2013;0.65936618
02.01.2013;0.59487656
03.01.2013;0.6342849
04.01.2013;0.61277645
05.01.2013;0.65579335
06.01.2013;0.65579335
07.01.2013;0.66293901
08.01.2013;0.66293901
09.01.2013;0.69877452
10.01.2013;0.70595591
11.01.2013;0.68444746
12.01.2013;0.69520169
13.01.2013;0.70952874
14.01.2013;0.67369324
15.01.2013;0.6701204
16.01.2013;0.69520169
17.01.2013;0.69162885
18.01.2013;0.6773018
19.01.2013;0.65218479
20.01.2013;0.66293901
21.01.2013;0.62353067
22.01.2013;0.68087463
23.01.2013;0.64146629
24.01.2013;0.57694094
25.01.2013;0.66293901
26.01.2013;0.60920362
27.01.2013;0.63071207
28.01.2013;0.60202222
29.01.2013;0.591268
30.01.2013;0.58051377
31.01.2013;0.56261388
01.02.2013;0.55543249
02.02.2013;0.591268
03.02.2013;0.52677838
04.02.2013;0.4945157
05.02.2013;0.47661581
06.02.2013;0.43977991
07.02.2013;0.32895066
08.02.2013;0.30033227
09.02.2013;0.33252349
10.02.2013;0.33966916
11.02.2013;0.33252349
12.02.2013;0.31465933
13.02.2013;0.31823216
14.02.2013;0.3110865
15.02.2013;0.27889528
16.02.2013;0.32895066
17.02.2013;0.28961378
18.02.2013;0.27889528
19.02.2013;0.29675944
20.02.2013;0.28961378
21.02.2013;0.28246811
22.02.2013;0.30390511
23.02.2013;0.31465933
24.02.2013;0.29318661
25.02.2013;0.28961378
26.02.2013;0.27532245
27.02.2013;0.31465933
28.02.2013;0.28961378
01.03.2013;0.27532245
02.03.2013;0.28604094
03.03.2013;0.28604094
04.03.2013;0.35756904
05.03.2013;0.49094287
06.03.2013;0.49812426
07.03.2013;0.60202222
08.03.2013;0.54110543
09.03.2013;0.5375326
10.03.2013;0.46943442
11.03.2013;0.43620708
12.03.2013;0.46228876
13.03.2013;0.51245132
14.03.2013;0.55543249
15.03.2013;0.53395977
16.03.2013;0.51959698
17.03.2013;0.55185966
18.03.2013;0.56618672
19.03.2013;0.57694094
20.03.2013;0.61634928
21.03.2013;0.64146629
22.03.2013;0.63785773
23.03.2013;0.65218479
24.03.2013;0.61634928
25.03.2013;0.61277645
26.03.2013;0.65579335
27.03.2013;0.68444746
28.03.2013;0.61277645
29.03.2013;0.65579335
30.03.2013;0.68444746
31.03.2013;0.65579335
01.04.2013;0.66293901
02.04.2013;0.63071207
03.04.2013;0.55185966
04.04.2013;0.60920362
05.04.2013;0.59844939
06.04.2013;0.591268
07.04.2013;0.58769517
08.04.2013;0.55904105
09.04.2013;0.58051377
10.04.2013;0.58412233
11.04.2013;0.591268
12.04.2013;0.62353067
13.04.2013;0.56979528
14.04.2013;0.64861195
15.04.2013;0.65579335
16.04.2013;0.73461003
17.04.2013;0.61634928
18.04.2013;0.64861195
19.04.2013;0.68087463
20.04.2013;0.65218479
21.04.2013;0.65936618
22.04.2013;0.64146629
23.04.2013;0.6342849
24.04.2013;0.65936618
25.04.2013;0.64146629
26.04.2013;0.6271035
27.04.2013;0.64146629
28.04.2013;0.61634928
29.04.2013;0.60563078
30.04.2013;0.56261388
01.05.2013;0.56618672
02.05.2013;0.55543249
03.05.2013;0.56618672
04.05.2013;0.57694094
05.05.2013;0.56979528
06.05.2013;0.48018865
07.05.2013;0.46586159
08.05.2013;0.41834292
09.05.2013;0.44338847
10.05.2013;0.38972453
11.05.2013;0.36114188
12.05.2013;0.37543321
13.05.2013;0.34681482
14.05.2013;0.35756904
15.05.2013;0.36114188
16.05.2013;0.38257887
17.05.2013;0.38257887
18.05.2013;0.37900604
19.05.2013;0.35399621
20.05.2013;0.35399621
21.05.2013;0.36471471
22.05.2013;0.37543321
23.05.2013;0.36828754
24.05.2013;0.35756904
25.05.2013;0.36471471
26.05.2013;0.36471471
27.05.2013;0.37186037
28.05.2013;0.36828754
29.05.2013;0.39329737
30.05.2013;0.28604094
31.05.2013;0.27889528
01.06.2013;0.26460395
02.06.2013;0.30390511
03.06.2013;0.27889528
04.06.2013;0.27174962
05.06.2013;0.27532245
06.06.2013;0.24670406
07.06.2013;0.27532245
08.06.2013;0.33252349
09.06.2013;0.47661581
10.06.2013;0.43977991
11.06.2013;0.58769517
12.06.2013;0.58051377
13.06.2013;0.51602415
14.06.2013;0.4945157
15.06.2013;0.43620708
16.06.2013;0.46943442
17.06.2013;0.5375326
18.06.2013;0.55543249
19.06.2013;0.56979528
20.06.2013;0.52320555
21.06.2013;0.5375326
22.06.2013;0.58412233
23.06.2013;0.591268
24.06.2013;0.58769517
25.06.2013;0.56618672
26.06.2013;0.59844939
27.06.2013;0.57694094
28.06.2013;0.64861195
29.06.2013;0.6342849
30.06.2013;0.61634928
01.07.2013;0.6342849
02.07.2013;0.60563078
03.07.2013;0.61995784
04.07.2013;0.62353067
05.07.2013;0.67369324
06.07.2013;0.65218479
07.07.2013;0.64503912
08.07.2013;0.65218479
09.07.2013;0.63785773
10.07.2013;0.58051377
11.07.2013;0.55185966
12.07.2013;0.55904105
13.07.2013;0.55543249
14.07.2013;0.55904105
15.07.2013;0.59487656
16.07.2013;0.6271035
17.07.2013;0.63071207
18.07.2013;0.591268
19.07.2013;0.60920362
20.07.2013;0.59487656
21.07.2013;0.59844939
22.07.2013;0.60202222
23.07.2013;0.64861195
24.07.2013;0.63785773
25.07.2013;0.63785773
26.07.2013;0.64503912
27.07.2013;0.65218479
28.07.2013;0.6342849
29.07.2013;0.65218479
30.07.2013;0.62353067
31.07.2013;0.64146629
01.08.2013;0.58051377
02.08.2013;0.64503912
03.08.2013;0.63785773
04.08.2013;0.61634928
05.08.2013;0.61277645
06.08.2013;0.61277645
07.08.2013;0.60563078
08.08.2013;0.58769517
09.08.2013;0.59487656
10.08.2013;0.4945157
11.08.2013;0.47661581
12.08.2013;0.49094287
13.08.2013;0.48018865
14.08.2013;0.46943442
15.08.2013;0.44338847
16.08.2013;0.42548858
17.08.2013;0.43263425
18.08.2013;0.38972453
19.08.2013;0.38972453
20.08.2013;0.46586159
21.08.2013;0.47300725
22.08.2013;0.47661581
23.08.2013;0.48018865
24.08.2013;0.47661581
25.08.2013;0.45510736
26.08.2013;0.43977991
27.08.2013;0.46943442
28.08.2013;0.45510736
29.08.2013;0.45153453
30.08.2013;0.43620708
31.08.2013;0.43977991
01.09.2013;0.42548858
02.09.2013;0.4945157
03.09.2013;0.45153453
04.09.2013;0.46228876
05.09.2013;0.46228876
06.09.2013;0.42906142
07.09.2013;0.43620708
08.09.2013;0.43620708
09.09.2013;0.45510736
10.09.2013;0.42548858
11.09.2013;0.45510736
12.09.2013;0.44338847
13.09.2013;0.65936618
14.09.2013;0.6271035
15.09.2013;0.6271035
16.09.2013;0.61995784
17.09.2013;0.58412233
18.09.2013;0.54828683
19.09.2013;0.55185966
20.09.2013;0.56261388
21.09.2013;0.54828683
22.09.2013;0.56979528
23.09.2013;0.5375326
24.09.2013;0.55904105
25.09.2013;0.59844939
26.09.2013;0.59487656
27.09.2013;0.58412233
28.09.2013;0.60202222
29.09.2013;0.60920362
30.09.2013;0.59844939
01.10.2013;0.62353067
02.10.2013;0.59844939
03.10.2013;0.61277645
04.10.2013;0.66654757
05.10.2013;0.60202222
06.10.2013;0.61995784
07.10.2013;0.61277645
08.10.2013;0.61634928
09.10.2013;0.61995784
10.10.2013;0.64503912
11.10.2013;0.65936618
12.10.2013;0.58051377
13.10.2013;0.61277645
14.10.2013;0.59844939
15.10.2013;0.5375326
16.10.2013;0.6271035
17.10.2013;0.59844939
18.10.2013;0.61277645
19.10.2013;0.59844939
20.10.2013;0.65579335
21.10.2013;0.59844939
22.10.2013;0.61277645
23.10.2013;0.591268
24.10.2013;0.57694094
25.10.2013;0.57336811
26.10.2013;0.61277645
27.10.2013;0.65579335
28.10.2013;0.66293901
29.10.2013;0.63785773
30.10.2013;0.61995784
31.10.2013;0.64503912
01.11.2013;0.64146629
02.11.2013;0.63071207
03.11.2013;0.59844939
04.11.2013;0.66654757
05.11.2013;0.60202222
06.11.2013;0.591268
07.11.2013;0.62353067
08.11.2013;0.591268
09.11.2013;0.61277645
10.11.2013;0.61995784
11.11.2013;0.62353067
12.11.2013;0.62353067
13.11.2013;0.58051377
14.11.2013;0.51245132
15.11.2013;0.50526993
16.11.2013;0.4586802
17.11.2013;0.4586802
18.11.2013;0.36828754
19.11.2013;0.30390511
20.11.2013;0.31465933
21.11.2013;0.31823216
22.11.2013;0.31465933
23.11.2013;0.30747794
24.11.2013;0.32180499
25.11.2013;0.3110865
26.11.2013;0.32180499
27.11.2013;0.32537783
28.11.2013;0.32537783
29.11.2013;0.27532245
30.11.2013;0.27174962
01.12.2013;0.30747794
02.12.2013;0.27174962
03.12.2013;0.29318661
04.12.2013;0.27889528
05.12.2013;0.28961378
06.12.2013;0.30390511
07.12.2013;0.3110865
08.12.2013;0.28246811
09.12.2013;0.31465933
10.12.2013;0.30747794
11.12.2013;0.26099539
12.12.2013;0.3110865
