<DATE>;volume
26.01.2011;0.31034483
27.01.2011;0.27586207
28.01.2011;0.24137931
29.01.2011;0
30.01.2011;0.34482759
31.01.2011;0.17241379
01.02.2011;0.4137931
02.02.2011;0.48275862
03.02.2011;0.31034483
04.02.2011;0.17241379
05.02.2011;0
06.02.2011;0.10344828
07.02.2011;0.24137931
08.02.2011;0.24137931
09.02.2011;0.13793103
10.02.2011;0.20689655
11.02.2011;0.20689655
12.02.2011;0
13.02.2011;0.06896552
14.02.2011;0.10344828
15.02.2011;0.03448276
16.02.2011;0.4137931
17.02.2011;0.24137931
18.02.2011;0.03448276
19.02.2011;0
20.02.2011;0.06896552
21.02.2011;0.17241379
22.02.2011;0.27586207
23.02.2011;0.27586207
24.02.2011;0.27586207
25.02.2011;0.13793103
26.02.2011;0
27.02.2011;0.20689655
28.02.2011;0.31034483
01.03.2011;0.31034483
02.03.2011;0.13793103
03.03.2011;0.31034483
04.03.2011;0.20689655
05.03.2011;0
06.03.2011;0.31034483
07.03.2011;0.17241379
08.03.2011;0.20689655
09.03.2011;0.31034483
10.03.2011;0.31034483
11.03.2011;0.17241379
12.03.2011;0
13.03.2011;0.06896552
14.03.2011;0.13793103
15.03.2011;0.27586207
16.03.2011;0.20689655
17.03.2011;0.31034483
18.03.2011;0.24137931
19.03.2011;0
20.03.2011;0.34482759
21.03.2011;0.06896552
22.03.2011;0.37931034
23.03.2011;0.34482759
24.03.2011;0.34482759
25.03.2011;0.20689655
26.03.2011;0
27.03.2011;0.31034483
28.03.2011;0.20689655
29.03.2011;0.27586207
30.03.2011;0.24137931
31.03.2011;0.31034483
01.04.2011;0.37931034
02.04.2011;0
03.04.2011;0.24137931
04.04.2011;0.31034483
05.04.2011;0.24137931
06.04.2011;0.20689655
07.04.2011;0.34482759
08.04.2011;0.17241379
09.04.2011;0
10.04.2011;0.24137931
11.04.2011;0.24137931
12.04.2011;0.31034483
13.04.2011;0.24137931
14.04.2011;0.37931034
15.04.2011;0.06896552
16.04.2011;0
17.04.2011;0.13793103
18.04.2011;0.82758621
19.04.2011;0.44827586
20.04.2011;0.20689655
21.04.2011;0.37931034
22.04.2011;0
23.04.2011;0
24.04.2011;0
25.04.2011;0
26.04.2011;0.4137931
27.04.2011;0.31034483
28.04.2011;0.24137931
29.04.2011;0
30.04.2011;0
01.05.2011;0.06896552
02.05.2011;0
03.05.2011;0.37931034
04.05.2011;0.34482759
05.05.2011;0.55172414
06.05.2011;0.31034483
07.05.2011;0
08.05.2011;0.44827586
09.05.2011;0.31034483
10.05.2011;0.34482759
11.05.2011;0.27586207
12.05.2011;0.51724138
13.05.2011;0.13793103
14.05.2011;0
15.05.2011;0.31034483
16.05.2011;0.37931034
17.05.2011;0.4137931
18.05.2011;0.31034483
19.05.2011;0.34482759
20.05.2011;0.17241379
21.05.2011;0
22.05.2011;0.37931034
23.05.2011;0.24137931
24.05.2011;0.34482759
25.05.2011;0.20689655
26.05.2011;0.27586207
27.05.2011;0.06896552
28.05.2011;0
29.05.2011;0.27586207
30.05.2011;0
31.05.2011;0.17241379
01.06.2011;0.31034483
02.06.2011;0.24137931
03.06.2011;0.10344828
04.06.2011;0
05.06.2011;0.31034483
06.06.2011;0.31034483
07.06.2011;0.17241379
08.06.2011;0.24137931
09.06.2011;0.17241379
10.06.2011;0.27586207
11.06.2011;0
12.06.2011;0.24137931
13.06.2011;0.13793103
14.06.2011;0.17241379
15.06.2011;0.31034483
16.06.2011;0.13793103
17.06.2011;0.10344828
18.06.2011;0
19.06.2011;0.24137931
20.06.2011;0.06896552
21.06.2011;0.13793103
22.06.2011;0.10344828
23.06.2011;0.37931034
24.06.2011;0.13793103
25.06.2011;0
26.06.2011;0.03448276
27.06.2011;0.10344828
28.06.2011;0.06896552
29.06.2011;0.27586207
30.06.2011;0.27586207
01.07.2011;0.17241379
02.07.2011;0
03.07.2011;0.10344828
04.07.2011;0.13793103
05.07.2011;0.13793103
06.07.2011;0.06896552
07.07.2011;0.24137931
08.07.2011;0.13793103
09.07.2011;0
10.07.2011;0.13793103
11.07.2011;0.17241379
12.07.2011;0.34482759
13.07.2011;0.24137931
14.07.2011;0.44827586
15.07.2011;0.17241379
16.07.2011;0
17.07.2011;0.24137931
18.07.2011;0.4137931
19.07.2011;0.27586207
20.07.2011;0.27586207
21.07.2011;0.13793103
22.07.2011;0.31034483
23.07.2011;0
24.07.2011;0.20689655
25.07.2011;0.31034483
26.07.2011;0.06896552
27.07.2011;0.24137931
28.07.2011;0.13793103
29.07.2011;0.34482759
30.07.2011;0
31.07.2011;0.27586207
01.08.2011;0.24137931
02.08.2011;0.06896552
03.08.2011;0.34482759
04.08.2011;0.31034483
05.08.2011;0.20689655
06.08.2011;0
07.08.2011;0.24137931
08.08.2011;0.31034483
09.08.2011;0.27586207
10.08.2011;0.17241379
11.08.2011;0.20689655
12.08.2011;0.13793103
13.08.2011;0
14.08.2011;0.13793103
15.08.2011;0.24137931
16.08.2011;0.17241379
17.08.2011;0.24137931
18.08.2011;0.10344828
19.08.2011;0.03448276
20.08.2011;0
21.08.2011;0.13793103
22.08.2011;0.10344828
23.08.2011;0.27586207
24.08.2011;0.17241379
25.08.2011;0.27586207
26.08.2011;0.06896552
27.08.2011;0
28.08.2011;0.31034483
29.08.2011;0
30.08.2011;0.31034483
31.08.2011;0.13793103
01.09.2011;0.31034483
02.09.2011;0.31034483
03.09.2011;0
04.09.2011;0.10344828
05.09.2011;0.20689655
06.09.2011;0.31034483
07.09.2011;0.10344828
08.09.2011;0.17241379
09.09.2011;0.13793103
10.09.2011;0
11.09.2011;0.31034483
12.09.2011;0.31034483
13.09.2011;0.34482759
14.09.2011;0.17241379
15.09.2011;0.24137931
16.09.2011;0.13793103
17.09.2011;0
18.09.2011;0.13793103
19.09.2011;0.27586207
20.09.2011;0.31034483
21.09.2011;0.13793103
22.09.2011;0.24137931
23.09.2011;0.48275862
24.09.2011;0
25.09.2011;0.24137931
26.09.2011;0.17241379
27.09.2011;0.13793103
28.09.2011;0.27586207
29.09.2011;0.24137931
30.09.2011;0.34482759
01.10.2011;0
02.10.2011;0.24137931
03.10.2011;0.17241379
04.10.2011;0.24137931
05.10.2011;0.27586207
06.10.2011;0.06896552
07.10.2011;0.27586207
08.10.2011;0
09.10.2011;0.10344828
10.10.2011;0.17241379
11.10.2011;0.13793103
12.10.2011;0.20689655
13.10.2011;0.4137931
14.10.2011;0.24137931
15.10.2011;0
16.10.2011;0.17241379
17.10.2011;0.37931034
18.10.2011;0.17241379
19.10.2011;0.17241379
20.10.2011;0.06896552
21.10.2011;0.13793103
22.10.2011;0
23.10.2011;0.27586207
24.10.2011;0.17241379
25.10.2011;0.17241379
26.10.2011;0.13793103
27.10.2011;0.24137931
28.10.2011;0.27586207
29.10.2011;0
30.10.2011;0.51724138
31.10.2011;0.34482759
01.11.2011;0.31034483
02.11.2011;0.20689655
03.11.2011;0.24137931
04.11.2011;0.37931034
05.11.2011;0
06.11.2011;0.31034483
07.11.2011;0.24137931
08.11.2011;0.4137931
09.11.2011;0.20689655
10.11.2011;0.44827586
11.11.2011;0.44827586
12.11.2011;0
13.11.2011;0.34482759
14.11.2011;0.4137931
15.11.2011;0.37931034
16.11.2011;0.51724138
17.11.2011;0.48275862
18.11.2011;0.20689655
19.11.2011;0
20.11.2011;0.34482759
21.11.2011;0.31034483
22.11.2011;0.48275862
23.11.2011;0.34482759
24.11.2011;0.44827586
25.11.2011;0.37931034
26.11.2011;0
27.11.2011;0.13793103
28.11.2011;0.20689655
29.11.2011;0.48275862
30.11.2011;0.4137931
01.12.2011;0.34482759
02.12.2011;0.27586207
03.12.2011;0
04.12.2011;0.13793103
05.12.2011;0.48275862
06.12.2011;0.17241379
07.12.2011;0.37931034
08.12.2011;0
