<0>;<1>;<2>;<3>;<4>;<5>;<6>;<7>;<8>;<9>;<10>;<11>;<12>;<13>;<14>;<15>;<16>;<17>;<18>;<19>;<20>;<21>;<22>;<23>;<24>;<25>;<26>;<27>;<28>;<29>;<30>;<31>;<32>;<33>;<34>;<35>;<36>;<37>;<38>;<39>;<40>;<41>;<42>;<43>;<44>;<45>;<46>;<47>;<48>;<49>;<50>;<51>;<52>;<53>;<54>;<55>;<56>;<57>;<58>;<59>;<60>;<61>;<62>;<63>;<64>;<65>;<66>;<67>;<68>;<69>;<70>;<71>;<72>;<73>;<74>;<75>;<76>;<77>;<78>;<79>;<80>;<81>;<82>;<83>;<84>
209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;
217;209;217;217;217;217;209;217;217;217;217;209;217;217;217;217;209;217;217;217;217;209;217;217;217;217;209;217;217;217;217;209;217;217;217;217;209;217;217;217;217;209;217;217;217;217;209;217;217;217;217;209;217;217;217;217;209;217;217;217;217;209;217;217;217;217;209;217;217;217;217;209;217;217;217;217;209;217;217;217;217;209;217;217;217;
226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;
233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;
243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;
251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;
255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;
243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;
235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;235;
226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;
217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;217;
209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;
201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;201;
192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;
184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;
174;175;174;175;174;175;174;175;174;175;174;175;174;175;174;175;174;175;174;175;174;175;174;175;174;175;174;175;174;175;174;175;174;175;174;175;174;175;174;175;174;175;174;175;174;175;174;175;174;175;174;175;174;175;174;175;174;175;174;175;174;175;174;175;174;175;174;175;174;175;174;175;174;175;174;175;174;175;174;175;174;175;174;175;174;
167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;
157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;
149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;
140;141;140;141;140;141;140;141;140;141;140;141;140;141;140;141;140;141;140;141;140;141;140;141;140;141;140;141;140;141;140;141;140;141;140;141;140;141;140;141;140;141;140;141;140;141;140;141;140;141;140;141;140;141;140;141;140;141;140;141;140;141;140;141;140;141;140;141;140;141;140;141;140;141;140;141;140;141;140;141;140;141;140;141;140;
132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;
123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;
115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;
106;107;106;107;106;107;106;107;106;107;106;107;106;107;106;107;106;107;106;107;106;107;106;107;106;107;106;107;106;107;106;107;106;107;106;107;106;107;106;107;106;107;106;107;106;107;106;107;106;107;106;107;106;107;106;107;106;107;106;107;106;107;106;107;106;107;106;107;106;107;106;107;106;107;106;107;106;107;106;107;106;107;106;107;106;
98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;
89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;
81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;
72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;
64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;
55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;
47;45;47;45;47;45;47;45;47;45;47;45;47;45;47;45;47;45;47;45;47;45;47;45;47;45;47;45;47;45;47;45;47;45;47;45;47;45;47;45;47;45;47;45;47;45;47;45;47;45;47;45;47;45;47;45;47;45;47;45;47;45;47;45;47;45;47;45;47;45;47;45;47;45;47;45;47;45;47;45;47;45;47;45;47;
38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;
29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;
21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;
8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;
8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;
8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;
8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;
21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;
29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;
38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;
45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;
55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;
64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;
72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;
81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;
89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;
97;98;97;98;97;98;97;98;97;98;97;98;97;98;97;98;97;98;97;98;97;98;97;98;97;98;97;98;97;98;97;98;97;98;97;98;97;98;97;98;97;98;97;98;97;98;97;98;97;98;97;98;97;98;97;98;97;98;97;98;97;98;97;98;97;98;97;98;97;98;97;98;97;98;97;98;97;98;97;98;97;98;97;98;97;
106;105;106;105;106;105;106;105;106;105;106;105;106;105;106;105;106;105;106;105;106;105;106;105;106;105;106;105;106;105;106;105;106;105;106;105;106;105;106;105;106;105;106;105;106;105;106;105;106;105;106;105;106;105;106;105;106;105;106;105;106;105;106;105;106;105;106;105;106;105;106;105;106;105;106;105;106;105;106;105;106;105;106;105;106;
115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;
123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123;
132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;132;
140;139;140;139;140;139;140;139;140;139;140;139;140;139;140;139;140;139;140;139;140;139;140;139;140;139;140;139;140;139;140;139;140;139;140;139;140;139;140;139;140;139;140;139;140;139;140;139;140;139;140;139;140;139;140;139;140;139;140;139;140;139;140;139;140;139;140;139;140;139;140;139;140;139;140;139;140;139;140;139;140;139;140;139;140;
149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;149;
157;156;157;156;157;156;157;156;157;156;157;156;157;156;157;156;157;156;157;156;157;156;157;156;157;156;157;156;157;156;157;156;157;156;157;156;157;156;157;156;157;156;157;156;157;156;157;156;157;156;157;156;157;156;157;156;157;156;157;156;157;156;157;156;157;156;157;156;157;156;157;156;157;156;157;156;157;156;157;156;157;156;157;156;157;
165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;
174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;
182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;
192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;192;
199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;
209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;209;
217;209;217;217;217;217;209;217;217;217;217;209;217;217;217;217;209;217;217;217;217;209;217;217;217;217;209;217;217;217;217;209;217;217;217;217;209;217;217;217;217;209;217;217;217;217;209;217;217;217;217;209;217;217;217;217;209;217;217;217;217;209;217;217;217;217;209;217;217;217;217;209;217;217;217;217;209;217;217;217;217;209;217;217;217;
226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;226;
233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;233;
243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;
251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;
255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;255;251;255;
