"MT_251";"MT_252";"MT_253";"MT_254"
0.97423001;0.18391306;0.03094005;0.9615885;
0.0369625;0.93209949;0.16896074;0.02312634;
0.03693968;0.00530603;0.00642443;0.00482551;
0.97307942;0.00540271;0.00846415;0.00772086;
0.06503302;0.00987489;0.00543426;0.0120153;
0.0369625;0.00901314;0.02073151;0.95635012;
0.03061989;0.02299411;0.989629;0.02254398;
0.02827182;0.97414713;0.09087202;0.05745921;
0.0394738;0.0343976;0.01864477;0.96146171;
0.23860444;0.029563;0.01866337;0.0461472;
0.05362838;0.5;0.99188147;0.07573579;
0.91686374;0.06812001;0.97340756;0.80078689;
0.03703114;0.5;0.01864477;0.96146171;
0.0394738;0.05130615;0.95361908;0.96152521;
0.34375931;0.06812001;0.0371993;0.90136784;
0.91686374;0.9656024;0.04638092;0.03677763;
0.34375931;0.18391306;0.97668579;0.02107417;
0.06524378;0.09984404;0.93849443;0.98215812;
0.76060366;0.5;0.06150557;0.03853829;
0.86073421;0.5;0.09087202;0.94254079;
0.13926579;0.06812001;0.09087202;0.01932395;
0.09606734;0.95880675;0.01864477;0.98067605;
0.5;0.05130615;0.97929143;0.03307561;
0.9605262;0.95880675;0.9628007;0.057319;
0.09621788;0.06790051;0.01864477;0.05745921;
0.23939634;0.97929617;0.5;0.96146171;
0.13926579;0.01882797;0.90955608;0.942681;
0.90378212;0.9656024;0.16896074;0.79928087;
0.13926579;0.06812001;0.90912798;0.03302877;
0.34375931;0.97411495;0.97668579;0.92426421;
0.5;0.99232059;0.97340756;0.98252014;
0.90378212;0.5;0.90912798;0.99695187;
0.11397694;0.81608694;0.16896074;0.01006886;
0.88602306;0.94856781;0.03712572;0.0384115;
0.97799376;0.95880675;0.5;0.01543777;
0.01606945;0.99413138;0.99165304;0.01927592;
0.91697703;0.95880675;0.03094005;0.97898293;
0.93482662;0.18391306;0.98139232;0.942681;
0.99070287;0.99353352;0.99545634;0.03298206;
0.99383558;0.98850704;0.99283405;0.942681;
0.01041542;0.00559344;0.00582197;0.97432315;
0.9630375;0.02578876;0.00689877;0.97896393;
0.23939634;0.99233759;0.96905995;0.96701794;
0.02575887;0.95880675;0.98835632;0.98553232;
0.92713347;0.98783361;0.99594975;0.98070809;
0.17702702;0.01590225;0.99357557;0.95403411;
0.76060366;0.97421124;0.5;0.11089009;
0.34375931;0.05130615;0.83241864;0.97432315;
0.91709002;0.98120609;0.98566987;0.0384115;
0.94651475;0.06790051;0.09087202;0.97687366;
0.11376834;0.01590225;0.03094005;0.02889372;
0.95460364;0.9852287;0.97933717;0.97432315;
0.01695624;0.9588879;0.09044392;0.96152521;
0.95088742;0.98620956;0.96294757;0.97687366;
0.65624069;0.05130615;0.97340756;0.07573579;
0.04539636;0.18246691;0.00931644;0.04605637;
0.02960318;0.02582078;0.98669949;0.95394363;
0.98022635;0.81608694;0.00745169;0.98454171;
0.04539636;0.94869385;0.5;0.00681922;
0.03114669;0.02952107;0.9690088;0.92426421;
0.97628816;0.81608694;0.0124171;0.9742948;
0.65756102;0.89968906;0.99068821;0.98840422;
0.03479087;0.0229687;0.98139232;0.5;
0.97804236;0.81608694;0.01860768;0.19921311;
0.65624069;0.97933734;0.98448048;0.98078775;
0.03939586;0.94869385;0.16896074;0.07549433;
0.11356048;0.01723485;0.03094005;0.00926608;
0.34375931;0.02578876;0.00980519;0.97687366;
0.03287747;0.97421124;0.90955608;0.07573579;
0.96060414;0.09984404;0.98903908;0.97892583;
0.08290998;0.99100638;0.01860768;0.01364418;
0.97804236;0.01378129;0.96294757;0.04596589;
0.94123978;0.02068322;0.83103926;0.97896393;
0.03116293;0.9656024;0.98307599;0.9668303;
0.04217019;0.94869385;0.02655474;0.0331697;
0.98586974;0.0229687;0.97933717;0.9821718;
0.018538;0.98408556;0.03705243;0.01932395;
0.08290998;0.01478181;0.02325627;0.9534859;
0.98788624;0.98276515;0.99190257;0.9769652;
0.02117802;0.98276515;0.09044392;0.96171447;
0.06503302;0.97933734;0.09044392;0.97124889;
0.97882198;0.98783361;0.97933717;0.79928087;
0.95092757;0.01590225;0.96961176;0.00680325;
0.03114669;0.00862016;0.97683009;0.80078689;
0.34375931;0.81753309;0.03083824;0.97092601;
0.76139556;0.0411121;0.03697943;0.954214;
0.05870295;0.05130615;0.5;0.19921311;
0.88623166;0.94869385;0.01233516;0.03312259;
0.97179495;0.94869385;0.96287428;0.03298206;
0.01603918;0.5;0.04626688;0.95403411;
0.9630375;0.9588879;0.01551952;0.79928087;
0.86103899;0.09984404;0.98965196;0.5;
0.02196572;0.02068322;0.0461534;0.0384115;
0.76060366;0.0343409;0.02659244;0.01929191;
0.97039682;0.93209949;0.16758136;0.03293547;
0.5;0.5;0.01164368;0.07597878;
0.04536201;0.0343409;0.01692401;0.88859954;
0.97424113;0.94869385;0.00689877;0.02103607;
0.09591725;0.00517377;0.00582197;0.00747261;
0.01913285;0.00540412;0.00886987;0.00926239;
0.94651475;0.00609793;0.00690132;0.00827329;
0.97039682;0.0159511;0.02536764;0.96152521;
0.01203303;0.09984404;0.96514968;0.057319;
0.02581458;0.9656024;0.5;0.98072408;
0.04225943;0.02952107;0.01216657;0.97110628;
0.08313626;0.5;0.0371993;0.20071913;
0.09621788;0.02301957;0.09087202;0.01542752;
0.86073421;0.89968906;0.83103926;0.92426421;
0.03487203;0.81608694;0.01435213;0.97432315;
0.04225943;0.05143219;0.83103926;0.97110628;
0.23939634;0.89968906;0.06150557;0.88910991;
0.92686971;0.06812001;0.16896074;0.01446768;
0.17750231;0.93187999;0.93849443;0.88910991;
0.23939634;0.5;0.02070857;0.97432315;
0.13896101;0.02952107;0.16896074;0.05717946;
0.82297298;0.93187999;0.90912798;0.20071913;
0.34375931;0.95880675;0.97340756;0.057319;
0.09606734;0.06812001;0.01166547;0.20071913;
0.11397694;0.95872529;0.98445468;0.5;
0.96705002;0.02585287;0.83103926;0.11089009;
0.13926579;0.9656024;0.06130625;0.20071913;
0.11376834;0.97929617;0.98304531;0.88859954;
0.11397694;0.02070383;0.93849443;0.88910991;
0.9545348;0.93187999;0.02073151;0.92426421;
0.11397694;0.06812001;0.09087202;0.5;
0.23939634;0.06812001;0.97336975;0.04596589;
0.13896101;0.99439447;0.9901742;0.99473499;
0.93482662;0.02301957;0.01866337;0.92426421;
0.13926579;0.95872529;0.16896074;0.94282054;
0.34375931;0.97411495;0.93849443;0.03293547;
0.17702702;0.02072447;0.96895747;0.97432315;
0.65624069;0.99284965;0.98135523;0.02103607;
0.17750231;0.99241875;0.9885978;0.02567685;
0.94118241;0.9656591;0.98307599;0.98842155;
0.99440691;0.99408623;0.98903908;0.00798616;
0.98812761;0.05130615;0.99357557;0.98072408;
0.01006355;0.01089013;0.9538466;0.98219908;
0.08290998;0.0147713;0.00600919;0.5;
0.9630375;0.9852287;0.02325627;0.9615885;
0.0369625;0.98620956;0.99378909;0.98219908;
0.9630375;0.98620956;0.99654957;0.98780826;
0.0369625;0.94869385;0.98568084;0.03847479;
0.02438034;0.0229687;0.83103926;0.19921311;
0.98451099;0.97417922;0.01551952;0.88910991;
0.90393266;0.93209949;0.98965196;0.11089009;
0.01977365;0.06790051;0.96287428;0.98553232;
0.97179495;0.98783361;0.02655474;0.5;
0.91709002;0.5;0.0309912;0.07573579;
0.02045179;0.97933734;0.01330051;0.97114206;
0.97719454;0.02294336;0.98137379;0.19921311;
0.08290998;0.02582078;0.98965196;0.02103607;
0.97179495;0.09984404;0.83241864;0.98842155;
0.13896101;0.90015596;0.98680277;0.9668303;
0.03287747;0.81608694;0.03626487;0.07549433;
0.03939586;0.06790051;0.01860768;0.01290216;
0.97628816;0.06812001;0.01164368;0.99033715;
0.04217019;0.0343409;0.98669949;0.01104484;
0.11356048;0.89968906;0.03094005;0.96701794;
0.97628816;0.93209949;0.04626688;0.98712641;
0.02576999;0.97052075;0.83103926;0.0255922;
0.04217019;0.93209949;0.04626688;0.9671573;
0.97803428;0.01590225;0.90955608;0.0570406;
0.03481113;0.06812001;0.01550665;0.96171447;
0.90393266;0.94869385;0.98139232;0.0230348;
0.98586974;0.9656024;0.0124171;0.0232418;
0.02117802;0.98409775;0.9875829;0.88910991;
0.01977365;0.98276515;0.98307599;0.07573579;
0.97882198;0.01591444;0.02325627;0.02312634;
0.05870295;0.01292361;0.16896074;0.88859954;
0.04217019;0.93209949;0.97344526;0.97687366;
0.98976354;0.90015596;0.5;0.04605637;
0.03116293;0.09984404;0.97674373;0.942681;
0.01977365;0.97417922;0.01692401;0.0384115;
0.96712253;0.02947925;0.98448048;0.94282054;
0.97306728;0.97421124;0.02325627;0.95394363;
0.03287747;0.89968906;0.90955608;0.98842155;
0.91709002;0.97417922;0.98910933;0.80078689;
0.97954821;0.98409775;0.01319723;0.79928087;
0.03939586;0.97705664;0.09087202;0.0255922;
0.04536201;0.00738963;0.98448048;0.88961582;
0.82297298;0.02294336;0.0309912;0.01219813;
0.9630375;0.98120609;0.01692401;0.99339025;
0.5;0.90015596;0.5;0.98352316;
0.02371184;0.02947925;0.01860768;0.00678735;
0.94651475;0.9656591;0.5;0.01784188;
0.82297298;0.0411121;0.97674373;0.97890673;
0.88643952;0.06790051;0.01551952;0.01934002;
0.02371184;0.9588879;0.95373312;0.057319;
0.5;0.02066266;0.02655474;0.9615885;
0.76060366;0.0343409;0.04626688;0.942681;
0.09591725;0.5;0.98307599;0.04596589;
0.86134252;0.81753309;0.01163643;0.92426421;
0.07286653;0.05118071;0.02325627;0.03298206;
0.92713347;0.90015596;0.09044392;0.0384115;
0.23860444;0.00591208;0.00423474;0.00367768;
0.08290998;0.00526431;0.00582197;0.01218535;
0.13896101;0.0044126;0.00886987;0.00791275;
0.93489688;0.05143219;0.0309912;0.11140046;
0.02371184;0.10031094;0.98137379;0.02317239;
0.02256394;0.970437;0.02068568;0.5;
0.03485171;0.05143219;0.01511801;0.9742664;
0.09621788;0.04119325;0.010371;0.05745921;
0.34375931;0.05143219;0.90912798;0.03847479;
0.5;0.10031094;0.0371993;0.95394363;
0.03703114;0.06812001;0.0309912;0.92402122;
0.05358058;0.95872529;0.03104253;0.96146171;
0.09621788;0.02070383;0.98304531;0.0461472;
0.94112492;0.93209949;0.0309912;0.03302877;
0.34375931;0.18391306;0.06150557;0.20071913;
0.13926579;0.5;0.04638092;0.96697123;
0.13926579;0.81608694;0.5;0.04605637;
0.93475622;0.89968906;0.9628007;0.88910991;
0.08313626;0.05143219;0.06150557;0.20071913;
0.13896101;0.81608694;0.09087202;0.94254079;
0.13926579;0.93187999;0.96895747;0.01932395;
0.97301859;0.10031094;0.02331421;0.5;
0.04919307;0.970437;0.16896074;0.05745921;
0.34375931;0.5;0.97926849;0.96692439;
0.5;0.06812001;0.99066961;0.94254079;
0.90378212;0.81608694;0.01332896;0.05745921;
0.11397694;0.06812001;0.0309912;0.0461472;
0.5;0.95872529;0.9690088;0.96146171;
0.11397694;0.99259455;0.98833453;0.98730912;
0.93475622;0.06812001;0.01554532;0.97896393;
0.09621788;0.89968906;0.16896074;0.99702979;
0.5;0.96554552;0.83103926;0.01447668;
0.23939634;0.9901298;0.98564787;0.00593914;
0.34375931;0.97414713;0.99164557;0.98456223;
0.17702702;0.02070383;0.06130625;0.97687366;
0.96514829;0.99618795;0.05537696;0.01780092;
0.99348852;0.97421124;0.99457363;0.92426421;
0.05870295;0.05130615;0.99309868;0.03847479;
0.11356048;0.00940089;0.83241864;0.98780826;
0.98586974;0.01591444;0.01431916;0.01102912;
0.02961786;0.98120609;0.99522286;0.98897088;
0.03936995;0.99261037;0.99189906;0.98553232;
0.96712253;0.98276515;0.99662071;0.99227914;
0.07295424;0.98120609;0.01837012;0.0384115;
0.02693272;0.01590225;0.98583274;0.01286646;
0.97719454;0.98850704;0.04604047;0.97687366;
0.05348525;0.01478181;0.96916176;0.97896393;
0.96060414;0.97052075;0.01686297;0.98072408;
0.23939634;0.99100248;0.93889179;0.01653541;
0.09591725;0.01590225;0.9538466;0.79928087;
0.08290998;0.93209949;0.01087167;0.97687366;
0.91709002;0.10031094;0.98912833;0.01780092;
0.05870295;0.05118071;0.83241864;0.20071913;
0.94651475;0.97052075;0.9538466;0.942681;
0.90408275;0.02947925;0.98313703;0.99318678;
0.03939586;0.18391306;0.02647964;0.96171447;
0.98939926;0.81608694;0.16758136;0.02878663;
0.01797356;0.90015596;0.93889179;0.01219174;
0.07295424;0.90015596;0.09044392;0.942681;
0.07295424;0.5;0.93889179;0.9903612;
0.76060366;0.9852287;0.0205946;0.01921225;
0.0369625;0.02947925;0.93889179;0.92450567;
0.97423001;0.01877693;0.00841082;0.01781455;
0.02576999;0.01879391;0.93849443;0.11089009;
0.04911258;0.9656591;0.0309912;0.97680452;
0.95460364;0.97052075;0.97674373;0.11089009;
0.23939634;0.5;0.09044392;0.01784188;
0.13896101;0.02947925;0.09087202;0.98897088;
0.98438111;0.97052075;0.99229008;0.05717946;
0.02576999;0.04119325;0.00840326;0.00965482;
0.05348525;0.95880675;0.97960741;0.94282054;
0.96883707;0.97705664;0.98907751;0.98896041;
0.82297298;0.01378129;0.01855231;0.88961582;
0.95460364;0.9588879;0.83241864;0.88910991;
0.5;0.97052075;0.83103926;0.11089009;
0.02196572;0.99137626;0.98313703;0.00827329;
0.97628816;0.05130615;0.09044392;0.20071913;
0.76060366;0.01879391;0.83241864;0.79928087;
0.09606734;0.10031094;0.97352036;0.99627097;
0.34375931;0.93209949;0.02647964;0.11038418;
0.97038214;0.02066266;0.9538466;0.00769275;
0.05348525;0.98620956;0.96302057;0.03828553;
0.5;0.0343409;0.90998027;0.98558613;
0.08290998;0.04119325;0.00713858;0.07549433;
0.95782981;0.94869385;0.95395953;0.00925501;
0.03939586;0.02947925;0.16758136;0.98344104;
0.96520913;0.98276515;0.93889179;0.9769652;
0.09591725;0.01591444;0.02316991;0.80078689;
0.06503302;0.9770313;0.01672723;0.01281681;
0.05876022;0.10031094;0.9877054;0.5;
0.07286653;0.00827648;0.0080486;0.02321861;
0.92713347;0.9770313;0.96294757;0.88859954;
0.76060366;0.97933734;0.97702913;0.02103607;
0.23939634;0.05130615;0.00882798;0.11089009;
0.34243898;0.01292361;0.01163643;0.057319;
0.07295424;0.9588879;0.16896074;0.04605637;
0.90408275;0.00766241;0.00931644;0.00681322;
0.34243898;0.00367633;0.00846415;0.00643408;
0.08290998;0.01151846;0.00396432;0.01157845;
0.94656229;0.01218782;0.04626688;0.92426421;
0.0197671;0.5;0.9875829;0.02885794;
0.02025727;0.029563;0.01034804;0.5;
0.0394738;0.10031094;0.16896074;0.96701794;
0.5;0.95872529;0.00931179;0.01885414;
0.08313626;0.01726349;0.90955608;0.95635012;
0.94637162;0.04127471;0.90955608;0.942681;
0.02582575;0.81608694;0.02655474;0.03298206;
0.04919307;0.97700589;0.13142383;0.97687366;
0.17750231;0.02070383;0.95720717;0.07573579;
0.9545348;0.18391306;0.0293875;0.07597878;
0.07304216;0.95872529;0.98198375;0.5;
0.23939634;0.05143219;0.01801625;0.9742948;
0.23939634;0.5;0.02659244;0.01929191;
0.90378212;0.18391306;0.98601291;0.96152521;
0.11397694;0.81608694;0.06150557;0.02795759;
0.08302297;0.81608694;0.01803362;0.94622629;
0.65756102;0.10031094;0.9767148;0.20071913;
0.96705002;0.18391306;0.02663025;0.02795759;
0.07304216;0.96554552;0.98858388;0.94254079;
0.17750231;0.81608694;0.01643326;0.0461472;
0.11397694;0.5;0.98356674;0.97745602;
0.91686374;0.10031094;0.97344526;0.07573579;
0.34375931;0.5;0.02066283;0.06970723;
0.23939634;0.5;0.97344526;0.5;
0.34375931;0.99259455;0.99068821;0.96827448;
0.90378212;0.94856781;0.00980005;0.99648955;
0.11397694;0.10031094;0.98307599;0.98219908;
0.88602306;0.89968906;0.01433013;0.00723983;
0.08313626;0.99331268;0.98307599;0.00857865;
0.76060366;0.94856781;0.98835632;0.99227914;
0.13926579;0.01726349;0.98449335;0.98552332;
0.97300639;0.9914859;0.99068356;0.00747261;
0.03294998;0.99455334;0.97933717;0.03298206;
0.98760656;0.81753309;0.97674373;0.99201384;
0.98596293;0.00689616;0.96287428;0.02567685;
0.86103899;0.97052075;0.01551952;0.98346459;
0.86103899;0.9852287;0.03712572;0.97687366;
0.02693272;0.99100638;0.97931432;0.9863798;
0.65624069;0.89968906;0.99694553;0.98219908;
0.03234369;0.5;0.98972026;0.97687366;
0.11397694;0.98277944;0.98908389;0.02103607;
0.98364842;0.0343409;0.01686297;0.02567685;
0.02914097;0.02066266;0.03697943;0.97687366;
0.90865623;0.98850704;0.97352036;0.79928087;
0.91709002;0.97933734;0.5;0.95403411;
0.96520913;0.01879391;0.00740738;0.97687366;
0.03939586;0.94869385;0.9538466;0.0384115;
0.05870295;0.90015596;0.99158918;0.95403411;
0.76060366;0.18246691;0.98763219;0.02885794;
0.92713347;0.81753309;0.02644226;0.96701794;
0.09591725;0.02294336;0.0205946;0.99229194;
0.88623166;0.93209949;0.01546817;0.01048678;
0.07295424;0.0343409;0.96916176;0.98462348;
0.76139556;0.01879391;0.97683009;0.9769652;
0.34243898;0.9588879;0.01686297;0.00961091;
0.65756102;0.89968906;0.83103926;0.954214;
0.13896101;0.9656591;0.96916176;0.0144857;
0.96883707;0.09984404;0.83241864;0.88859954;
0.06503302;0.97705664;0.03697943;0.057319;
0.07295424;0.06790051;0.04604047;0.97114206;
0.76139556;0.09984404;0.09044392;0.88597868;
0.76060366;0.93209949;0.98968622;0.9671573;
0.93496698;0.05130615;0.03697943;0.0144857;
0.02541879;0.93209949;0.5;0.98215812;
0.76060366;0.81608694;0.01545538;0.99077072;
0.95214063;0.04119325;0.02614691;0.0056421;
0.5;0.81608694;0.96961176;0.02885794;
0.34375931;0.95880675;0.96916176;0.98839264;
0.88623166;0.0343976;0.03690672;0.03873005;
0.95092757;0.89968906;0.0184244;0.98897611;
0.04217019;0.97421124;0.99075271;0.00772086;
0.96712253;0.97931678;0.04604047;0.97110628;
0.76060366;0.02947925;0.95395953;0.20071913;
0.96885331;0.02068322;0.04604047;0.92426421;
0.65624069;0.97052075;0.9794054;0.5;
0.96520913;0.81608694;0.90955608;0.98637182;
0.02117802;0.98120609;0.9794054;0.01654717;
0.06503302;0.18391306;0.03083824;0.98069208;
0.05876022;0.89968906;0.83241864;0.19921311;
0.97803428;0.01723485;0.0205946;0.99112658;
0.04539636;0.18391306;0.96916176;0.01281681;
0.11356048;0.97052075;0.01855231;0.01921225;
0.06510312;0.05118071;0.93869375;0.95412423;
0.65624069;0.18391306;0.0461534;0.02878663;
0.17702702;0.94869385;0.04604047;0.01008634;
0.34375931;0.0343976;0.90998027;0.98219908;
0.65624069;0.02066266;0.02037039;0.0384115;
0.90408275;0.9656024;0.5;0.02889372;
0.08290998;0.0343976;0.16896074;0.79928087;
0.82297298;0.81608694;0.01095449;0.02567685;
0.13896101;0.09984404;0.00548048;0.97114206;
