<X>;<CLOSE>
10.4;0.0861
10.45;0.0726
10.5;0.0602
10.55;0.0488
10.6;0.0386
10.65;0.0296
10.7;0.0217
10.75;0.015
10.8;0.0095
10.85;0.0053
10.9;0.0023
10.95;0.0005
11;0
11.05;0.0007
11.1;0.0027
11.15;0.0059
11.2;0.0104
11.25;0.0161
11.3;0.023
11.35;0.0311
11.4;0.0403
11.45;0.0507
11.5;0.0623
11.55;0.0749
11.6;0.0886
11.65;0.1033
11.7;0.119
11.75;0.1357
11.8;0.1532
11.85;0.1717
11.9;0.1909
11.95;0.211
12;0.2317
12.05;0.2531
12.1;0.2752
12.15;0.2978
12.2;0.3209
12.25;0.3444
12.3;0.3684
12.35;0.3927
12.4;0.4172
12.45;0.4419
12.5;0.4668
12.55;0.4918
12.6;0.5168
12.65;0.5418
12.7;0.5666
12.75;0.5913
12.8;0.6158
12.85;0.6399
12.9;0.6637
12.95;0.6871
13;0.7101
13.05;0.7325
13.1;0.7543
13.15;0.7755
13.2;0.796
13.25;0.8158
13.3;0.8348
13.35;0.8529
13.4;0.8702
13.45;0.8865
13.5;0.9019
13.55;0.9163
13.6;0.9296
13.65;0.9418
13.7;0.953
13.75;0.963
13.8;0.9718
13.85;0.9795
13.9;0.986
13.95;0.9913
14;0.9953
14.05;0.9981
14.1;0.9997
14.15;1
14.2;0.999
14.25;0.9968
14.3;0.9934
14.35;0.9887
14.4;0.9828
14.45;0.9757
14.5;0.9674
14.55;0.958
14.6;0.9474
14.65;0.9357
14.7;0.9229
14.75;0.909
14.8;0.8941
14.85;0.8783
14.9;0.8614
14.95;0.8437
15;0.8251
15.05;0.8058
15.1;0.7856
15.15;0.7647
15.2;0.7432
15.25;0.7211
15.3;0.6984
15.35;0.6752
15.4;0.6516
15.45;0.6276
15.5;0.6032
15.55;0.5787
15.6;0.5539
15.65;0.529
15.7;0.504
15.75;0.479
15.8;0.454
15.85;0.4292
15.9;0.4046
15.95;0.3802
16;0.356
16.05;0.3323
16.1;0.309
16.15;0.2861
16.2;0.2638
16.25;0.2421
16.3;0.221
16.35;0.2006
16.4;0.1809
16.45;0.1621
16.5;0.1441
16.55;0.127
16.6;0.1108
16.65;0.0956
16.7;0.0814
16.75;0.0683
16.8;0.0562
16.85;0.0453
16.9;0.0354
16.95;0.0268
17;0.0193
17.05;0.013
17.1;0.008
17.15;0.0041
17.2;0.0015
17.25;0.0002
17.3;0.0001
17.35;0.0013
17.4;0.0037
17.45;0.0073
17.5;0.0122
17.55;0.0183
17.6;0.0256
17.65;0.0341
17.7;0.0437
17.75;0.0545
17.8;0.0664
17.85;0.0794
17.9;0.0934
17.95;0.1085
18;0.1245
18.05;0.1415
18.1;0.1593
18.15;0.1781
18.2;0.1976
18.25;0.2179
18.3;0.2388
18.35;0.2605
18.4;0.2827
18.45;0.3055
18.5;0.3288
18.55;0.3525
18.6;0.3765
18.65;0.4009
18.7;0.4255
18.75;0.4503
18.8;0.4752
18.85;0.5002
18.9;0.5252
18.95;0.5501
19;0.5749
19.05;0.5996
19.1;0.6239
19.15;0.648
19.2;0.6717
19.25;0.6949
19.3;0.7177
19.35;0.7399
19.4;0.7615
19.45;0.7825
19.5;0.8028
19.55;0.8223
19.6;0.841
19.65;0.8588
19.7;0.8758
19.75;0.8918
19.8;0.9068
19.85;0.9209
19.9;0.9338
19.95;0.9457
20;0.9565
20.05;0.9661
20.1;0.9746
20.15;0.9818
20.2;0.9879
20.25;0.9928
20.3;0.9964
20.35;0.9988
20.4;0.9999
20.45;0.9998
20.5;0.9984
20.55;0.9958
20.6;0.992
20.65;0.9869
20.7;0.9806
20.75;0.9731
20.8;0.9644
20.85;0.9546
20.9;0.9436
20.95;0.9315
21;0.9183
21.05;0.9041
21.1;0.8889
21.15;0.8727
21.2;0.8556
21.25;0.8376
21.3;0.8187
21.35;0.7991
21.4;0.7787
21.45;0.7576
21.5;0.7358
21.55;0.7135
21.6;0.6906
21.65;0.6673
21.7;0.6435
21.75;0.6194
21.8;0.595
21.85;0.5703
21.9;0.5455
21.95;0.5206
22;0.4956
22.05;0.4706
22.1;0.4457
22.15;0.4209
22.2;0.3963
22.25;0.372
22.3;0.348
22.35;0.3244
22.4;0.3012
22.45;0.2785
22.5;0.2564
22.55;0.2349
22.6;0.214
22.65;0.1939
22.7;0.1745
22.75;0.156
22.8;0.1383
22.85;0.1215
22.9;0.1056
22.95;0.0907
23;0.0769
23.05;0.0641
23.1;0.0524
23.15;0.0418
23.2;0.0324
23.25;0.0241
23.3;0.0171
23.35;0.0112
23.4;0.0065
23.45;0.0031
23.5;0.001
23.55;0
23.6;0.0004
23.65;0.0019
23.7;0.0048
23.75;0.0088
23.8;0.0141
23.85;0.0206
23.9;0.0283
23.95;0.0372
24;0.0472
24.05;0.0584
24.1;0.0706
24.15;0.084
24.2;0.0984
24.25;0.1138
24.3;0.1301
24.35;0.1474
24.4;0.1655
24.45;0.1845
24.5;0.2043
24.55;0.2248
24.6;0.2461
24.65;0.2679
24.7;0.2903
24.75;0.3133
24.8;0.3367
24.85;0.3605
24.9;0.3847
24.95;0.4091
25;0.4338
25.05;0.4587
25.1;0.4836
25.15;0.5086
25.2;0.5336
25.25;0.5585
25.3;0.5832
25.35;0.6078
25.4;0.632
25.45;0.656
25.5;0.6795
25.55;0.7026
25.6;0.7252
25.65;0.7472
25.7;0.7687
25.75;0.7894
25.8;0.8094
25.85;0.8287
25.9;0.8471
25.95;0.8646
26;0.8813
26.05;0.897
26.1;0.9117
26.15;0.9253
26.2;0.9379
26.25;0.9495
26.3;0.9598
26.35;0.9691
26.4;0.9771
26.45;0.984
26.5;0.9897
26.55;0.9941
26.6;0.9973
26.65;0.9993
26.7;1
26.75;0.9995
26.8;0.9977
26.85;0.9946
26.9;0.9904
26.95;0.9849
27;0.9782
27.05;0.9703
27.1;0.9612
27.15;0.951
27.2;0.9396
27.25;0.9272
27.3;0.9137
27.35;0.8991
27.4;0.8836
27.45;0.867
27.5;0.8496
27.55;0.8313
27.6;0.8122
27.65;0.7923
27.7;0.7716
27.75;0.7503
27.8;0.7284
27.85;0.7059
27.9;0.6828
27.95;0.6593
28;0.6355
28.05;0.6112
28.1;0.5867
28.15;0.562
28.2;0.5371
28.25;0.5122
28.3;0.4872
28.35;0.4622
28.4;0.4373
28.45;0.4126
28.5;0.3881
28.55;0.3639
28.6;0.34
28.65;0.3166
28.7;0.2935
28.75;0.271
28.8;0.2491
28.85;0.2278
28.9;0.2072
28.95;0.1873
29;0.1682
29.05;0.1499
29.1;0.1325
29.15;0.116
29.2;0.1005
29.25;0.086
29.3;0.0725
29.35;0.06
29.4;0.0487
29.45;0.0385
29.5;0.0295
29.55;0.0216
29.6;0.0149
29.65;0.0095
29.7;0.0053
29.75;0.0023
29.8;0.0005
29.85;0
29.9;0.0008
29.95;0.0027
30;0.006
30.05;0.0105
30.1;0.0162
30.15;0.0231
30.2;0.0312
30.25;0.0404
30.3;0.0508
30.35;0.0624
30.4;0.075
30.45;0.0887
30.5;0.1034
30.55;0.1192
30.6;0.1358
30.65;0.1534
30.7;0.1718
30.75;0.1911
30.8;0.2111
30.85;0.2319
30.9;0.2533
30.95;0.2754
31;0.298
31.05;0.3211
31.1;0.3447
31.15;0.3686
31.2;0.3929
31.25;0.4174
31.3;0.4422
31.35;0.4671
31.4;0.492
31.45;0.517
31.5;0.542
31.55;0.5668
31.6;0.5915
31.65;0.616
31.7;0.6401
31.75;0.6639
31.8;0.6874
31.85;0.7103
31.9;0.7327
31.95;0.7545
32;0.7757
32.05;0.7962
32.1;0.816
32.15;0.8349
32.2;0.8531
32.25;0.8703
32.3;0.8867
32.35;0.902
32.4;0.9164
32.45;0.9297
32.5;0.9419
32.55;0.9531
32.6;0.9631
32.65;0.9719
32.7;0.9796
32.75;0.9861
32.8;0.9913
32.85;0.9953
32.9;0.9981
32.95;0.9997
33;1
33.05;0.999
33.1;0.9968
33.15;0.9933
33.2;0.9887
33.25;0.9828
33.3;0.9757
33.35;0.9674
33.4;0.9579
33.45;0.9473
33.5;0.9356
33.55;0.9228
33.6;0.9089
33.65;0.894
33.7;0.8781
33.75;0.8613
33.8;0.8436
33.85;0.825
33.9;0.8056
33.95;0.7854
34;0.7645
34.05;0.743
34.1;0.7209
34.15;0.6982
34.2;0.675
34.25;0.6513
34.3;0.6273
34.35;0.603
34.4;0.5784
34.45;0.5537
34.5;0.5287
34.55;0.5038
34.6;0.4788
34.65;0.4538
34.7;0.429
34.75;0.4044
34.8;0.3799
34.85;0.3558
34.9;0.3321
34.95;0.3088
35;0.2859
35.05;0.2636
35.1;0.2419
35.15;0.2208
35.2;0.2004
35.25;0.1808
35.3;0.1619
35.35;0.144
35.4;0.1269
35.45;0.1107
35.5;0.0955
35.55;0.0813
35.6;0.0682
35.65;0.0561
35.7;0.0452
35.75;0.0354
35.8;0.0267
35.85;0.0192
35.9;0.013
35.95;0.0079
36;0.0041
36.05;0.0015
36.1;0.0002
36.15;0.0001
36.2;0.0013
36.25;0.0037
36.3;0.0074
36.35;0.0122
36.4;0.0183
36.45;0.0256
36.5;0.0341
36.55;0.0438
36.6;0.0546
36.65;0.0665
36.7;0.0795
36.75;0.0936
36.8;0.1086
36.85;0.1247
36.9;0.1416
36.95;0.1595
37;0.1782
37.05;0.1978
37.1;0.218
37.15;0.239
37.2;0.2607
37.25;0.2829
37.3;0.3057
37.35;0.329
37.4;0.3527
37.45;0.3767
37.5;0.4011
37.55;0.4257
37.6;0.4505
37.65;0.4755
37.7;0.5004
37.75;0.5254
37.8;0.5504
37.85;0.5752
37.9;0.5998
37.95;0.6241
38;0.6482
38.05;0.6719
38.1;0.6951
38.15;0.7179
38.2;0.7401
38.25;0.7617
38.3;0.7827
38.35;0.8029
38.4;0.8224
38.45;0.8411
38.5;0.859
38.55;0.8759
38.6;0.8919
38.65;0.907
38.7;0.921
38.75;0.9339
38.8;0.9458
38.85;0.9566
38.9;0.9662
38.95;0.9746
39;0.9819
39.05;0.988
39.1;0.9928
39.15;0.9964
39.2;0.9988
39.25;0.9999
39.3;0.9998
39.35;0.9984
39.4;0.9958
39.45;0.9919
39.5;0.9868
39.55;0.9805
39.6;0.973
39.65;0.9643
39.7;0.9545
39.75;0.9435
39.8;0.9314
39.85;0.9182
39.9;0.904
39.95;0.8888
40;0.8726
40.05;0.8554
40.1;0.8374
40.15;0.8185
40.2;0.7989
40.25;0.7785
40.3;0.7574
40.35;0.7356
40.4;0.7133
40.45;0.6904
40.5;0.6671
40.55;0.6433
40.6;0.6192
40.65;0.5948
40.7;0.5701
40.75;0.5453
40.8;0.5203
40.85;0.4954
40.9;0.4704
40.95;0.4455
41;0.4207
41.05;0.3961
41.1;0.3718
41.15;0.3478
41.2;0.3242
41.25;0.301
41.3;0.2783
41.35;0.2562
41.4;0.2347
41.45;0.2139
41.5;0.1937
41.55;0.1744
41.6;0.1558
41.65;0.1381
41.7;0.1213
41.75;0.1055
41.8;0.0906
41.85;0.0768
41.9;0.064
41.95;0.0523
42;0.0417
42.05;0.0323
42.1;0.0241
42.15;0.017
42.2;0.0111
42.25;0.0065
42.3;0.0031
42.35;0.0009
42.4;0
42.45;0.0004
42.5;0.002
42.55;0.0048
42.6;0.0089
42.65;0.0142
42.7;0.0207
42.75;0.0284
42.8;0.0373
42.85;0.0473
42.9;0.0585
42.95;0.0708
43;0.0841
43.05;0.0985
43.1;0.1139
43.15;0.1303
43.2;0.1475
43.25;0.1657
43.3;0.1847
43.35;0.2045
43.4;0.225
43.45;0.2462
43.5;0.2681
43.55;0.2905
43.6;0.3135
43.65;0.3369
43.7;0.3607
43.75;0.3849
43.8;0.4094
43.85;0.434
43.9;0.4589
43.95;0.4839
44;0.5089
44.05;0.5338
44.1;0.5587
44.15;0.5835
44.2;0.608
44.25;0.6323
44.3;0.6562
44.35;0.6797
44.4;0.7028
44.45;0.7254
44.5;0.7474
44.55;0.7688
44.6;0.7896
44.65;0.8096
44.7;0.8288
44.75;0.8472
44.8;0.8648
44.85;0.8814
44.9;0.8971
44.95;0.9118
45;0.9255
45.05;0.938
45.1;0.9495
45.15;0.9599
45.2;0.9692
45.25;0.9772
45.3;0.9841
45.35;0.9897
45.4;0.9942
45.45;0.9973
45.5;0.9993
45.55;1
45.6;0.9995
45.65;0.9977
45.7;0.9946
45.75;0.9903
45.8;0.9848
45.85;0.9781
45.9;0.9702
45.95;0.9611
46;0.9509
46.05;0.9395
46.1;0.9271
46.15;0.9135
