<0>;<1>;<2>;<3>;<4>;<5>;<6>;<7>;<8>;<9>;<10>;<11>;<12>;<13>;<14>;<15>;<16>;<17>;<18>;<19>;<20>;<21>;<22>;<23>;<24>;<25>;<26>;<27>;<28>;<29>;<30>;<31>;<32>;<33>;<34>;<35>;<36>;<37>;<38>;<39>;<40>;<41>;<42>;<43>;<44>;<45>;<46>;<47>;<48>;<49>;<50>;<51>;<52>;<53>;<54>;<55>;<56>;<57>;<58>;<59>;<60>;<61>;<62>;<63>;<64>;<65>;<66>;<67>;<68>;<69>;<70>;<71>;<72>;<73>;<74>;<75>;<76>;<77>;<78>;<79>;<80>;<81>;<82>;<83>;<84>;<85>;<86>;<87>;<88>;<89>;<90>;<91>;<92>;<93>;<94>;<95>;<96>;<97>;<98>;<99>;<100>;<101>;<102>;<103>;<104>;<105>;<106>;<107>;<108>;<109>;<110>;<111>;<112>;<113>;<114>;<115>;<116>;<117>;<118>;<119>;<120>;<121>;<122>;<123>;<124>;<125>;<126>;<127>;<128>;<129>;<130>;<131>;<132>;<133>;<134>;<135>;<136>;<137>;<138>;<139>;<140>;<141>;<142>;<143>;<144>;<145>;<146>;<147>;<148>;<149>;<150>;<151>;<152>;<153>;<154>;<155>;<156>;<157>;<158>;<159>;<160>;<161>;<162>;<163>;<164>;<165>;<166>;<167>;<168>;<169>;<170>;<171>;<172>;<173>;<174>;<175>;<176>;<177>;<178>;<179>;<180>;<181>;<182>;<183>;<184>;<185>;<186>;<187>;<188>;
11/01/00;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;13;89;254;254;253;246;242;123;147;246;56;85;254;107;15;109;254;152;21;14;92;254;179;46;12;17;76;228;241;90;16;15;13;43;169;254;193;44;13;17;15;16;61;188;254;174;58;14;16;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18
12/01/00;18;18;18;18;18;18;18;18;18;18;18;18;17;18;18;15;39;244;254;254;246;174;238;75;168;216;29;88;254;109;15;98;250;168;39;12;57;227;233;64;15;12;43;173;254;143;25;14;15;20;92;242;246;94;20;15;17;13;23;111;247;251;119;25;13;17;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18
13/01/00;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;17;18;165;254;254;252;195;168;231;78;203;191;28;89;254;109;12;61;247;214;42;12;48;186;254;96;15;13;23;116;254;203;49;14;16;13;42;166;254;172;45;13;17;16;14;52;163;254;195;59;15;16;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18
14/01/00;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;13;89;254;254;254;254;141;190;177;55;233;173;18;98;254;110;13;61;246;216;43;12;25;156;254;136;23;12;16;70;238;252;87;18;15;15;19;94;254;233;77;17;16;18;14;19;89;237;254;119;25;13;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18
15/01/00;18;18;18;18;18;18;18;18;18;17;18;17;18;18;18;18;15;39;244;254;254;250;238;108;232;120;75;254;127;23;146;254;111;13;59;214;218;45;12;16;108;254;156;33;14;14;39;181;254;138;28;14;16;15;54;188;254;146;26;13;18;17;13;41;164;254;200;59;15;16;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18
16/01/00;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;17;21;189;254;254;237;223;188;100;254;72;74;254;109;18;147;254;94;12;32;189;246;79;12;16;75;241;218;44;12;15;22;121;254;197;41;14;17;14;23;113;254;205;63;14;16;18;15;19;89;234;254;120;25;14;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18
17/01/00;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;14;109;254;252;254;196;218;125;125;241;43;121;254;74;19;150;254;65;12;31;189;254;80;13;12;61;244;218;65;15;16;15;74;251;242;74;16;16;16;15;67;214;254;103;22;15;18;17;13;40;163;254;198;59;14;16;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18
18/01/00;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;14;63;254;254;253;237;163;244;77;181;189;25;130;254;61;18;150;254;65;12;32;187;254;80;14;14;39;186;254;82;13;16;14;46;198;254;119;19;15;17;13;32;157;254;182;40;14;17;18;15;19;89;244;247;99;21;14;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18
19/01/00;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;15;32;234;254;252;254;198;180;191;62;246;129;25;191;218;39;19;150;252;65;12;31;187;254;80;13;13;31;153;254;115;20;16;14;24;141;254;171;29;14;18;15;18;102;246;235;73;15;16;18;17;13;52;184;254;176;47;13;17;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18
20/01/00;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;17;18;173;254;254;254;254;116;227;116;75;254;80;28;196;207;24;20;150;254;66;12;25;133;254;81;13;14;17;125;254;136;19;15;15;19;94;254;203;55;12;17;17;12;61;206;254;123;23;15;18;18;14;23;108;254;237;81;18;16;18;18;17;18;18;18;18;18;18;18;17;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18
21/01/00;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;14;107;254;254;254;254;191;115;247;50;120;244;34;50;252;154;21;20;173;254;63;12;18;126;252;108;20;15;18;111;254;156;34;14;17;14;68;222;237;84;16;16;18;13;33;149;254;182;33;14;17;18;16;14;65;208;254;153;28;14;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18
22/01/00;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;14;61;254;254;254;216;240;108;150;180;33;181;176;20;62;253;115;12;39;213;211;34;12;18;125;254;135;19;15;13;73;254;198;36;13;17;12;45;181;254;103;19;16;18;15;20;97;254;224;63;15;16;18;18;13;27;147;254;209;54;14;16;18;18;18;17;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18
23/01/00;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;15;40;250;254;254;244;178;216;77;247;98;44;241;115;13;107;254;94;12;40;213;200;34;12;18;125;254;135;19;15;13;72;254;202;56;14;18;14;24;161;254;157;24;14;18;16;14;57;218;254;107;21;15;18;18;15;17;93;244;254;94;19;15;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18
24/01/00;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;17;21;196;254;254;254;168;201;135;102;254;44;79;254;68;13;149;254;57;12;40;214;200;34;13;18;124;254;136;19;15;15;46;203;252;69;13;17;15;20;106;254;174;43;13;18;18;14;30;157;254;164;27;15;18;18;17;14;46;179;254;149;31;13;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18
25/01/00;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;17;16;141;254;254;254;238;143;244;56;179;162;21;146;238;34;23;172;234;37;12;40;225;198;29;13;18;124;254;136;19;16;13;38;203;252;69;12;17;16;15;89;237;222;51;14;17;18;15;22;111;254;209;49;12;17;18;18;14;25;124;254;206;56;13;17;18;18;18;18;17;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18
26/01/00;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;13;117;254;254;254;254;130;161;168;56;254;84;26;216;156;16;37;234;176;27;12;72;254;138;19;15;17;124;254;136;20;16;13;38;184;248;90;18;16;17;12;57;237;254;86;13;16;18;15;15;66;235;234;83;14;16;17;18;15;16;76;242;248;95;19;15;18;18;18;17;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18
27/01/00;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;17;14;69;254;254;254;222;216;83;254;64;101;248;36;50;254;102;12;54;254;147;16;12;74;254;136;19;15;18;124;254;137;20;16;15;21;141;254;119;17;16;18;14;37;180;254;94;20;16;18;17;13;46;183;254;115;21;15;18;18;17;14;42;191;254;133;26;14;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18
28/01/00;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;14;59;254;254;254;251;248;116;150;180;31;211;146;12;111;254;48;12;91;254;109;14;12;76;254;132;16;15;18;123;254;136;19;16;16;20;140;254;119;17;16;18;14;29;171;254;141;20;15;18;18;13;28;144;254;143;25;15;18;18;18;14;29;138;254;187;48;14;17;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18
29/01/00;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;15;34;234;254;254;248;146;216;79;242;80;59;254;69;15;169;211;26;12;118;254;67;13;16;123;254;83;14;16;18;123;254;136;20;16;16;20;140;254;121;17;15;18;15;19;120;253;153;34;14;18;18;15;16;115;254;201;41;13;18;18;18;15;18;87;254;241;69;16;16;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18
30/01/00;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;16;25;216;254;254;254;142;203;111;115;227;27;146;227;24;39;251;125;13;21;151;248;42;13;18;125;254;82;15;16;18;123;254;137;20;16;16;18;90;254;126;24;15;18;16;17;107;251;207;39;13;18;17;17;16;73;247;232;73;13;17;18;18;17;14;63;211;254;111;19;15;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18
31/01/00;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;16;149;254;254;254;218;133;211;49;248;94;30;237;115;12;74;254;77;12;34;212;198;29;14;18;132;254;64;12;16;17;122;254;134;17;16;17;13;85;254;181;29;14;18;17;12;69;250;203;43;14;17;18;17;13;61;207;254;77;16;16;18;18;18;13;40;173;254;163;26;13;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18
01/02/00;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;17;18;18;18;14;142;254;254;234;238;119;208;83;110;234;28;83;254;56;12;142;235;34;12;48;254;138;19;14;27;187;225;45;14;16;17;123;254;85;14;17;17;14;85;254;182;29;14;18;18;13;68;247;246;73;13;17;18;18;13;34;195;254;125;18;15;18;18;18;14;22;139;254;176;45;13;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18
