"MT_250";"MT_251";"MT_252";"MT_253"
0.10621869;0.11730506;0.23960828;0.2257851
0.11800766;0.10753371;0.23603417;0.18665022
0.09442971;0.14666797;0.23246006;0.24383347
0.1003242;0.13201094;0.23960828;0.23180123
0.1003242;0.08799101;0.23246006;0.22277704
0.09442971;0.07333398;0.23960828;0.23480929
0.07079281;0.1808677;0.23960828;0.21071472
0.12979664;0.12712527;0.24318239;0.22879317
0.11211317;0.10753371;0.26823689;0.24383347
0.11800766;0.12223959;0.2467565;0.21372278
0.1003242;0.14666797;0.23246006;0.22879317
0.11211317;0.13201094;0.25751456;0.20469859
0.11800766;0.11241939;0.2467565;0.24383347
0.10621869;0.10753371;0.23603417;0.24383347
0.10621869;0.14178229;0.2467565;0.2257851
0.11211317;0.11730506;0.26108867;0.2257851
0.07079281;0.11730506;0.30758783;0.23180123
0.07079281;0.10264804;0.44347546;0.2498496
0.19469496;0.10264804;0.46852997;0.31713994
0.24190981;0.09776236;0.56274349;0.27996029
0.35985853;0.14178229;0.52217735;0.42573096
0.60383142;0.44488958;0.6523464;0.47701841
0.66890657;0.51499902;0.73119125;0.47701841
0.58614795;0.89710768;0.62368205;0.43779329
0.45605659;0.88733633;0.5663176;0.39255204
0.43831418;0.86774477;0.71685907;0.42873902
0.39693487;0.68155169;0.69895279;0.48908074
0.4501621;0.73055501;0.77061367;0.61277223
0.53881521;0.7746238;0.73837521;0.61578029
0.53881521;0.65707446;0.76346546;0.61277223
0.51517831;0.6913719;0.83155224;0.60973409
0.50333039;0.66684581;0.77061367;0.57956323
0.56840554;0.74032636;0.79927803;0.57655517
0.72802829;0.71584913;0.82079417;0.62483456
0.71028588;0.68643737;0.8387362;0.60371796
0.62157383;0.74032636;0.86021659;0.55543858
0.63342175;0.79914989;0.8100361;0.55243051
0.62157383;0.65213993;0.83155224;0.57354711
0.72207486;0.6913719;0.84945852;0.60973409
0.68664898;0.80892124;0.83155224;0.60973409
0.62157383;0.61784249;0.88530684;0.63388882
0.69843796;0.84321868;0.81364595;0.61878835
0.65705865;0.81874145;0.83512634;0.6911924
0.73981727;0.68643737;0.87097466;0.64291301
0.65705865;0.78932969;0.79570392;0.63085068
0.60383142;0.80892124;0.77061367;0.63990495
0.61567934;0.62766269;0.79212981;0.61878835
0.65705865;0.68155169;0.79570392;0.60973409
0.56245211;0.74032636;0.81364595;0.63085068
0.66295314;0.60807114;0.7562815;0.58560943
0.62752726;0.7746238;0.77061367;0.60371796
0.56840554;0.75503225;0.77422352;0.60067982
0.61567934;0.54436193;0.78494585;0.60672603
0.58614795;0.6374829;0.77422352;0.57956323
0.62752726;0.69625757;0.79570392;0.60973409
0.63931624;0.64236858;0.77422352;0.65497533
0.59793693;0.66196013;0.79212981;0.64291301
0.65705865;0.7452609;0.78137174;0.62483456
0.66890657;0.63254837;0.80288788;0.63085068
0.67480106;0.64236858;0.7885557;0.61878835
0.69254347;0.946111;0.82797813;0.62179641
0.88765105;0.78932969;0.90682297;0.67913007
0.73981727;0.76973813;0.85306837;0.68818433
0.72802829;0.81385577;0.83155224;0.67308386
0.65116416;0.82362713;0.79570392;0.69420046
0.69843796;0.7746238;0.80646199;0.64595115
0.68664898;0.96570256;0.82079417;0.6700758
0.75166519;0.74032636;0.79927803;0.65196727
0.76351312;0.77955833;0.79927803;0.66706774
0.69254347;0.76973813;0.78137174;0.63990495
0.71618037;0.80403557;0.80288788;0.62179641
0.75755968;0.72073481;0.82079417;0.64895921
0.58019452;0.72566934;0.7885557;0.63689688
0.66890657;0.73055501;0.8423103;0.48002647
0.66295314;0.68155169;0.8100361;0.48908074
0.60383142;0.62766269;0.77061367;0.46796414
0.61567934;0.73055501;0.76703957;0.47401035
0.61567934;0.56888802;0.75985561;0.50114306
0.62752726;0.66196013;0.7562815;0.49512694
0.58614795;0.7746238;0.75270739;0.47701841
0.59204244;0.69625757;0.76346546;0.47401035
0.42646625;0.61784249;0.62368205;0.38653592
0.40282935;0.72566934;0.48640051;0.320148
0.37164751;0.68155169;0.41130848;0.21673084
0.37164751;0.60318546;0.32903249;0.18965828
0.4501621;0.50845222;0.29682977;0.24383347
0.39104038;0.40580418;0.32545838;0.23781735
0.37164751;0.3324702;0.30397798;0.20770665
0.36575302;0.32264999;0.27895922;0.17762604
0.40878279;0.26890756;0.27895922;0.24684154
0.37164751;0.30310729;0.26823689;0.26792805
0.38508694;0.22488763;0.26823689;0.23781735
0.39104038;0.15155364;0.25390471;0.2498496
0.40282935;0.14666797;0.24318239;0.23480929
0.21827291;0.1808677;0.26466278;0.22277704
0.13569113;0.17598202;0.26108867;0.24684154
0.11800766;0.13201094;0.25390471;0.25586572
0.11211317;0.14178229;0.25390471;0.24684154
0.15932803;0.161325;0.25390471;0.24082541
0.09442971;0.14178229;0.24318239;0.23480929
0.06489832;0.11241939;0.26108867;0.20469859
0.08853522;0.11241939;0.2467565;0.23180123
0.08264073;0.18575337;0.26466278;0.24684154
0.1003242;0.15643932;0.25390471;0.21673084
0.12979664;0.14666797;0.28968155;0.21673084
0.1003242;0.12712527;0.25033061;0.22277704
0.08853522;0.15643932;0.271811;0.21976898
0.11800766;0.13689662;0.26108867;0.2257851
0.08853522;0.13201094;0.28968155;0.2498496
0.08853522;0.13201094;0.38625398;0.27093611
0.08264073;0.161325;0.38625398;0.27695223
0.09442971;0.13689662;0.38982809;0.27394417
0.08264073;0.161325;0.40412452;0.25887378
0.1003242;0.29333594;0.42203081;0.25887378
0.18290598;0.11241939;0.54841131;0.3261942
0.33038609;0.14666797;0.5663176;0.30808567
0.50333039;0.1906879;0.56274349;0.33825653
0.63342175;0.50356654;0.67743665;0.46194802
0.53292072;0.97552277;0.74194932;0.54036819
0.59793693;0.69625757;0.60934987;0.44383949
0.47969349;0.7746238;0.58064977;0.36238118
0.42646625;0.76485245;0.67743665;0.38048971
0.39104038;0.65213993;0.69534294;0.42873902
0.5447097;0.6913719;0.7562815;0.5675009
0.56245211;0.67666602;0.70967511;0.65497533
0.5447097;0.68643737;0.73837521;0.65497533
0.55066313;0.68155169;0.72404303;0.65801348
0.53292072;0.71584913;0.76346546;0.69720852
0.56840554;0.76973813;0.75270739;0.6911924
0.62157383;0.7452609;0.706101;0.67308386
0.5447097;0.80892124;0.7562815;0.70024666
0.60978485;0.6374829;0.77422352;0.69420046
0.64526967;0.69625757;0.82797813;0.70930093
0.66890657;0.70114325;0.81364595;0.73038744
0.66890657;0.6374829;0.8100361;0.6700758
0.59793693;0.53947626;0.78137174;0.71230899
0.62157383;0.68643737;0.78494585;0.63689688
0.68069555;0.62277702;0.79927803;0.63689688
0.62157383;0.52965605;0.77422352;0.65497533
0.60383142;0.65213993;0.77779763;0.60973409
0.60978485;0.65707446;0.78494585;0.6700758
0.60978485;0.5737737;0.75270739;0.70024666
0.58019452;0.70607778;0.7562815;0.6700758
0.60383142;0.71096346;0.79212981;0.70626278
0.60978485;0.6374829;0.80646199;0.70325472
0.7694076;0.61295681;0.76346546;0.68514619
0.68664898;0.60807114;0.73476536;0.62784262
0.62752726;0.5198847;0.76346546;0.63388882
0.66295314;0.59336525;0.7562815;0.68514619
0.65705865;0.55906781;0.8387362;0.65497533
0.63342175;0.6913719;0.78494585;0.6700758
0.65705865;0.74032636;0.74913328;0.67308386
0.60978485;0.64725425;0.77061367;0.70626278
0.7457707;0.57865937;0.78494585;0.68514619
0.71028588;0.78444401;0.75270739;0.71230899
0.57430003;0.62766269;0.79927803;0.69720852
0.55655762;0.59336525;0.74913328;0.67308386
0.62157383;0.83344733;0.79212981;0.74247985
0.73981727;0.69625757;0.83512634;0.73643364
0.66890657;0.65213993;0.87097466;0.73038744
0.62157383;0.78932969;0.93191322;0.75755023
0.62752726;0.84815321;0.88530684;0.77598965
0.66890657;0.75503225;0.79927803;0.80020455
0.73981727;0.75014657;0.80288788;0.78203586
0.68069555;0.75996678;0.78494585;0.76690531
0.66890657;0.71096346;0.77061367;0.76690531
0.66890657;0.73544069;0.78494585;0.72136325
0.67480106;0.83833301;0.79927803;0.73643364
0.58614795;0.65707446;0.79927803;0.72437132
0.62752726;0.73544069;0.81722006;0.68818433
0.66890657;0.75503225;0.8100361;0.74247985
0.60383142;0.62277702;0.77422352;0.73038744
0.60978485;0.63254837;0.75270739;0.70930093
0.58019452;0.73055501;0.76346546;0.70626278
0.55655762;0.73055501;0.76346546;0.65801348
0.58019452;0.66684581;0.74194932;0.62483456
0.58614795;0.77955833;0.7562815;0.54337625
0.45605659;0.75014657;0.61292398;0.44684755
0.39693487;0.59825093;0.47567819;0.38349777
0.38508694;0.65213993;0.35405125;0.30206955
0.39693487;0.75014657;0.30758783;0.27996029
0.19469496;0.50845222;0.30040387;0.29602334
0.13569113;0.39598397;0.32188427;0.29602334
0.11800766;0.32753567;0.29682977;0.2498496
0.12390215;0.29333594;0.29682977;0.23480929
0.1003242;0.26402189;0.26466278;0.22879317
0.11800766;0.28356459;0.271811;0.23180123
0.12979664;0.20045925;0.27538511;0.19266635
0.14158562;0.13201094;0.26108867;0.19567441
0.15932803;0.12223959;0.26823689;0.18665022
0.14748011;0.161325;0.25751456;0.18364216
0.20058945;0.14666797;0.26823689;0.19266635
0.1003242;0.13689662;0.26823689;0.16556371
0.11211317;0.11730506;0.24318239;0.16255565
0.12390215;0.13201094;0.25390471;0.16857177
0.09442971;0.12712527;0.271811;0.18965828
0.1003242;0.09776236;0.26108867;0.14149922
0.0766873;0.07333398;0.27895922;0.17762604
0.14158562;0.161325;0.25033061;0.1806341
0.1003242;0.14178229;0.271811;0.17157983
0.14748011;0.11730506;0.30758783;0.20469859
0.13569113;0.09287669;0.271811;0.21372278
0.09442971;0.15643932;0.28253333;0.18665022
0.11800766;0.13201094;0.271811;0.1806341
0.14748011;0.12223959;0.26108867;0.20169053
0.11211317;0.10264804;0.39340219;0.25887378
0.10621869;0.14666797;0.36123521;0.22879317
0.11211317;0.12712527;0.37910576;0.2257851
0.08853522;0.12223959;0.40769863;0.23480929
0.12979664;0.10753371;0.37195754;0.25285766
0.29496021;0.11241939;0.47567819;0.28296836
0.58614795;0.09776236;0.57350155;0.3322404
0.47969349;0.14666797;0.59501769;0.36541932
0.51517831;0.66684581;0.72043318;0.41667669
0.58019452;0.91181356;0.706101;0.50415113
0.56840554;0.62277702;0.63801422;0.51624353
0.55066313;0.58847958;0.58783373;0.4227229
0.41467728;0.66684581;0.63801422;0.39859824
0.42057177;0.58847958;0.69176883;0.48908074
0.58019452;0.66684581;0.74552343;0.65196727
0.58019452;0.58847958;0.75985561;0.6911924
0.57430003;0.46936682;0.72761714;0.69420046
0.60383142;0.65707446;0.7562815;0.65801348
0.56245211;0.68643737;0.76703957;0.71230899
0.68664898;0.53947626;0.7562815;0.72737938
0.58019452;0.64236858;0.81722006;0.70626278
0.62752726;0.67666602;0.81722006;0.68818433
0.62752726;0.53459058;0.85306837;0.64595115
0.58614795;0.66196013;0.82079417;0.67609193
0.68069555;0.62766269;0.79212981;0.73038744
0.68664898;0.73055501;0.78494585;0.73342558
0.68664898;0.71096346;0.79212981;0.77598965
0.70439139;0.62277702;0.79570392;0.7605583
0.69843796;0.54929646;0.78494585;0.73038744
0.64526967;0.67178034;0.77422352;0.68213813
0.62752726;0.60318546;0.75270739;0.72437132
0.68069555;0.57865937;0.75985561;0.70626278
0.66890657;0.70114325;0.77061367;0.69420046
0.62157383;0.58847958;0.79570392;0.69720852
0.67480106;0.5198847;0.80646199;0.68514619
0.60383142;0.65213993;0.75985561;0.6911924
0.68664898;0.56888802;0.74913328;0.65497533
0.69254347;0.59825093;0.76346546;0.68514619
0.62157383;0.80403557;0.78494585;0.63990495
0.62752726;0.66684581;0.83155224;0.68514619
0.62752726;0.5198847;0.87454877;0.71832511
0.63931624;0.65707446;0.82797813;0.69420046
0.65116416;0.60807114;0.77061367;0.6911924
0.69843796;0.53947626;0.78137174;0.71230899
0.63931624;0.82362713;0.7885557;0.71230899
0.68069555;0.73055501;0.78137174;0.73643364
0.68069555;0.5835939;0.8100361;0.70325472
0.66890657;0.67178034;0.78494585;0.7394417
0.67480106;0.77955833;0.81364595;0.71531705
0.68664898;0.6913719;0.82079417;0.72136325
0.62157383;0.72566934;0.84945852;0.77295151
0.67480106;0.86774477;0.89606491;0.73038744
0.63931624;0.79426422;0.92833911;0.72437132
0.63342175;0.73055501;0.82797813;0.7605583
0.75166519;0.7452609;0.79570392;0.74247985
0.68664898;0.82362713;0.83512634;0.70930093
0.70439139;0.82362713;0.8423103;0.70930093
0.72802829;0.70114325;0.81722006;0.67913007
0.63342175;0.75503225;0.8387362;0.67913007
0.69254347;0.76973813;0.82079417;0.70325472
0.65116416;0.79426422;0.8100361;0.66706774
0.65116416;0.67178034;0.82797813;0.67913007
0.59204244;0.67178034;0.79212981;0.65801348
0.66890657;0.68155169;0.77061367;0.64595115
0.69843796;0.65213993;0.77061367;0.67913007
0.62752726;0.67178034;0.77422352;0.63085068
0.58019452;0.63254837;0.75985561;0.60672603
0.63342175;0.67178034;0.76703957;0.60067982
0.47969349;0.66196013;0.64158833;0.46796414
0.473799;0.62766269;0.50069695;0.37143545
0.42057177;0.60807114;0.3326066;0.30808567
0.42057177;0.65213993;0.31831016;0.29000722
0.24190981;0.52965605;0.31116194;0.320148
0.20058945;0.40091851;0.33618071;0.29301528
0.17111701;0.31776432;0.32188427;0.25586572
0.15337459;0.28845026;0.30397798;0.20169053
0.12979664;0.28356459;0.28968155;0.20770665
0.14748011;0.28356459;0.28253333;0.19266635
0.14748011;0.20534493;0.271811;0.1745879
0.17701149;0.15155364;0.28968155;0.15653953
0.21237843;0.12223959;0.25390471;0.18965828
0.15337459;0.17109635;0.26466278;0.17157983
0.17111701;0.16621067;0.26108867;0.16255565
0.14158562;0.14666797;0.26108867;0.1505234
0.11211317;0.12712527;0.26466278;0.1505234
0.14748011;0.17109635;0.271811;0.16556371
0.12390215;0.13689662;0.25751456;0.15653953
0.17701149;0.11730506;0.26108867;0.1505234
0.10621869;0.09776236;0.271811;0.16857177
0.11800766;0.20534493;0.26466278;0.14450728
0.1003242;0.14666797;0.28968155;0.14149922
0.19469496;0.14178229;0.28968155;0.16857177
0.14158562;0.14178229;0.27895922;0.22879317
0.13569113;0.17109635;0.28253333;0.18665022
0.13569113;0.14666797;0.271811;0.16857177
0.11800766;0.14666797;0.28968155;0.18665022
0.11211317;0.12223959;0.38982809;0.23480929
0.13569113;0.16621067;0.37910576;0.19868247
0.15932803;0.13689662;0.38625398;0.19567441
0.11211317;0.13689662;0.40769863;0.19868247
0.09442971;0.12712527;0.48282641;0.23781735
0.21827291;0.12223959;0.51145502;0.30507761
0.63931624;0.10753371;0.47567819;0.29602334
0.5447097;0.1906879;0.67025269;0.28597642
0.58019452;0.6374829;0.69895279;0.38954398
0.50333039;0.58847958;0.68462061;0.47097221
0.48558798;0.56395349;0.60574002;0.47401035
0.4501621;0.76973813;0.55916938;0.43478522
0.42057177;0.67178034;0.5985918;0.55243051
0.473799;0.59825093;0.69895279;0.62179641
0.52702623;0.68643737;0.74194932;0.78811214
0.58019452;0.64725425;0.78137174;0.75755023
0.55066313;0.53947626;0.73476536;0.79719649
0.56245211;0.66684581;0.79927803;0.785074
0.53292072;0.61295681;0.74913328;0.80324269
0.5447097;0.68643737;0.77422352;0.76994345
0.61567934;0.67666602;0.85664248;0.77902779
0.58614795;0.64725425;0.8100361;0.7911202
0.56245211;0.61295681;0.82079417;0.7394417
0.64526967;0.64725425;0.81364595;0.7911202
0.7694076;0.59825093;0.79927803;0.79415834
0.65116416;0.65213993;0.82436828;0.80625075
0.61567934;0.68155169;0.79927803;0.83954999
0.62752726;0.60807114;0.79570392;0.81837324
0.59204244;0.88245065;0.79927803;0.8153351
0.57430003;0.72073481;0.80646199;0.82441944
0.68664898;0.68155169;0.81364595;0.81837324
0.66295314;0.64236858;0.81364595;0.82745759
0.62752726;0.65213993;0.86382644;0.80020455
0.65705865;0.5737737;0.8387362;0.80928889
0.66295314;0.68643737;0.79927803;0.74247985
0.59204244;0.5737737;0.75985561;0.75150403
0.57430003;0.51499902;0.78137174;0.73342558
0.59793693;0.57865937;0.80646199;0.75755023
0.59204244;0.56888802;0.80646199;0.75150403
0.58614795;0.54929646;0.78137174;0.74548791
0.61567934;0.73544069;0.80646199;0.81837324
0.68069555;0.62277702;0.7885557;0.75150403
0.62157383;0.56888802;0.80646199;0.77902779
0.65116416;0.66196013;0.8387362;0.83046565
0.66295314;0.67666602;0.78494585;0.80020455
0.72207486;0.74032636;0.80288788;0.80324269
0.68664898;0.74032636;0.82797813;0.80625075
0.71618037;0.60807114;0.91397119;0.83954999
0.69254347;0.73055501;0.89963901;0.83350379
0.68069555;0.74032636;0.86021659;0.83654193
0.68664898;0.71096346;0.85306837;0.85771869
0.70439139;0.70607778;0.86382644;0.83654193
0.68069555;0.80403557;0.82797813;0.84863434
0.65705865;0.75014657;0.88173273;0.86376489
0.78119658;0.75014657;0.86021659;0.86984117
0.73392278;0.71584913;0.8423103;0.7911202
0.78715001;0.78444401;0.85664248;0.80324269
0.72207486;0.71096346;0.83155224;0.80020455
0.73392278;0.79426422;0.87454877;0.80928889
0.62157383;0.76485245;0.82797813;0.785074
0.65705865;0.72073481;0.86021659;0.75150403
0.75166519;0.67178034;0.85306837;0.79719649
0.63931624;0.63254837;0.76346546;0.72737938
0.70439139;0.67178034;0.79570392;0.74247985
0.68664898;0.68155169;0.83155224;0.76690531
0.65705865;0.67178034;0.81722006;0.70325472
0.64526967;0.66684581;0.75985561;0.65497533
0.63342175;0.62766269;0.77779763;0.65196727
0.50928382;0.65707446;0.68101076;0.59165564
0.48558798;0.65213993;0.4792523;0.52526772
0.44420866;0.61784249;0.41488259;0.38349777
0.42646625;0.67178034;0.35405125;0.37143545
0.2241674;0.52477037;0.35405125;0.41667669
0.23601533;0.38132695;0.32903249;0.36238118
0.20648394;0.30799296;0.32188427;0.35937312
0.15932803;0.30799296;0.33975482;0.2990314
0.11800766;0.27379324;0.29682977;0.30507761
0.14158562;0.32753567;0.27895922;0.31112381
0.12979664;0.21511628;0.28253333;0.29000722
0.18880047;0.15643932;0.31473605;0.28597642
0.20058945;0.14178229;0.27895922;0.2990314
0.17701149;0.20534493;0.27538511;0.27996029
0.21237843;0.16621067;0.29325566;0.31112381
0.12390215;0.15643932;0.27895922;0.27996029
0.13569113;0.14666797;0.27895922;0.25887378
0.17701149;0.17598202;0.27538511;0.2990314
0.10621869;0.15155364;0.27895922;0.29000722
0.18290598;0.11730506;0.28253333;0.25887378
0.14158562;0.12223959;0.27538511;0.28296836
0.17701149;0.2102306;0.271811;0.26191192
0.14748011;0.17109635;0.29325566;0.31112381
0.20058945;0.15643932;0.29682977;0.27695223
0.14748011;0.13201094;0.29682977;0.31112381
0.19469496;0.16621067;0.28968155;0.3322404
0.14748011;0.161325;0.28968155;0.30507761
0.10621869;0.15155364;0.28968155;0.3261942
0.17111701;0.14666797;0.38982809;0.38653592
0.12979664;0.17598202;0.40412452;0.32920226
0.13569113;0.15155364;0.3969763;0.36238118
0.16522252;0.17598202;0.40412452;0.32318614
0.13569113;0.14178229;0.51502913;0.35636506
0.21827291;0.15155364;0.52932557;0.40461437
0.55655762;0.13201094;0.48640051;0.44083143
0.55655762;0.23954466;0.57350155;0.50114306
0.52702623;0.15155364;0.70967511;0.52830586
0.55655762;0.38621262;0.71328496;0.55243051
0.56245211;0.59336525;0.60574002;0.5675009
0.42057177;0.61295681;0.63083027;0.53131392
0.41467728;0.63254837;0.68101076;0.51624353
0.44420866;0.52477037;0.76346546;0.54337625
0.46790451;0.52965605;0.77061367;0.72737938
0.53881521;0.44000391;0.77061367;0.78203586
0.5210728;0.41557553;0.81364595;0.83350379
0.5447097;0.59336525;0.79212981;0.80020455
0.48558798;0.49379519;0.7562815;0.785074
0.5210728;0.52477037;0.82079417;0.80625075
0.62157383;0.55906781;0.85664248;0.80625075
0.59793693;0.64236858;0.81722006;0.73038744
0.62157383;0.56888802;0.83155224;0.74247985
0.63931624;0.5198847;0.8387362;0.80928889
0.63342175;0.52965605;0.83512634;0.85471062
0.62752726;0.56888802;0.8387362;0.83350379
0.63931624;0.53947626;0.80646199;0.80625075
0.68664898;0.56395349;0.81722006;0.76994345
0.66890657;0.52477037;0.79570392;0.78811214
0.61567934;0.53459058;0.7562815;0.81232704
0.68664898;0.52965605;0.77422352;0.77902779
0.66890657;0.53459058;0.78137174;0.78203586
0.61567934;0.51499902;0.80288788;0.80020455
0.61567934;0.60807114;0.79570392;0.80324269
0.68069555;0.56395349;0.82797813;0.78811214
0.62157383;0.52477037;0.81722006;0.77598965
0.59204244;0.53459058;0.8100361;0.76994345
0.65116416;0.54436193;0.82079417;0.82441944
0.57430003;0.58847958;0.80646199;0.80928889
0.60978485;0.47425249;0.81722006;0.80928889
0.58019452;0.48402384;0.82079417;0.77295151
0.60383142;0.54436193;0.80288788;0.75150403
0.68664898;0.54436193;0.80646199;0.76994345
0.70439139;0.53947626;0.82436828;0.78811214
0.73392278;0.56395349;0.80288788;0.77295151
0.65705865;0.62277702;0.8100361;0.74247985
0.65116416;0.55418214;0.8387362;0.80324269
0.65116416;0.64236858;0.87454877;0.7911202
0.66295314;0.65213993;0.84945852;0.80324269
0.63342175;0.7452609;0.81364595;0.7911202
0.65705865;0.75014657;0.8387362;0.81837324
0.63931624;0.83344733;0.8423103;0.82441944
0.69843796;0.69625757;0.88173273;0.85167248
0.63342175;0.65213993;0.87815862;0.83350379
0.66295314;0.60318546;0.88530684;0.83654193
0.62157383;0.73544069;0.8423103;0.80928889
0.71618037;0.67178034;0.8387362;0.82745759
0.68069555;0.64725425;0.86382644;0.79719649
0.66295314;0.60318546;0.84945852;0.80625075
0.59793693;0.60807114;0.84588441;0.79415834
0.62752726;0.59336525;0.86021659;0.78203586
0.68069555;0.58847958;0.8387362;0.78811214
0.59204244;0.59336525;0.80288788;0.7605583
0.64526967;0.62277702;0.82436828;0.7605583
0.59793693;0.58847958;0.80288788;0.75755023
0.60978485;0.60318546;0.80646199;0.70626278
0.58614795;0.5835939;0.79927803;0.60371796
0.55066313;0.56888802;0.78494585;0.54036819
0.5210728;0.59336525;0.63444012;0.48002647
0.48558798;0.5737737;0.51860324;0.38653592
0.41467728;0.57865937;0.40769863;0.31713994
0.36575302;0.58847958;0.32188427;0.29602334
0.26548777;0.53459058;0.31116194;0.320148
0.2478043;0.42046121;0.27895922;0.30206955
0.15337459;0.3715556;0.29325566;0.27695223
0.18880047;0.34224155;0.29682977;0.23480929
0.17701149;0.30799296;0.27538511;0.21372278
0.12979664;0.34712722;0.25390471;0.23180123
0.15932803;0.23465898;0.26823689;0.23480929
0.16522252;0.19557358;0.28968155;0.21071472
0.15337459;0.161325;0.26466278;0.19868247
0.17701149;0.22488763;0.26108867;0.21071472
